"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.096248,0,1,0,0,1,0
-1.9566e-05,-0.096246,0,1,0.001,0.001,1,0
-3.9132e-05,-0.096244,0,1,0.002,0.002,1,0
-5.8698e-05,-0.096243,0,1,0.003,0.003,1,0
-7.8265e-05,-0.096241,0,1,0.004,0.004,1,0
-9.7831e-05,-0.096239,0,1,0.005,0.005,1,0
-0.0001174,-0.096237,0,1,0.006,0.006,1,0
-0.00013696,-0.096235,0,1,0.007,0.007,1,0
-0.00015653,-0.096233,0,1,0.008,0.008,1,0
-0.0001761,-0.096231,0,1,0.009,0.009,1,0
-0.00019566,-0.096229,0,1,0.01,0.01,1,0
-0.00021523,-0.096227,0,1,0.011,0.011,1,0
-0.00023479,-0.096225,0,1,0.012,0.012,1,0
-0.00025436,-0.096224,0,1,0.013,0.013,1,0
-0.00027393,-0.096222,0,1,0.014,0.014,1,0
-0.00029349,-0.09622,0,1,0.015,0.015,1,0
-0.00031306,-0.096218,0,1,0.016,0.016,1,0
-0.00033262,-0.096216,0,1,0.017,0.017,1,0
-0.00035219,-0.096214,0,1,0.018,0.018,1,0
-0.00037176,-0.096212,0,1,0.019,0.019,1,0
-0.00039132,-0.09621,0,1,0.02,0.02,1,0
-0.00041089,-0.096208,0,1,0.021,0.021,1,0
-0.00043046,-0.096206,0,1,0.022,0.022,1,0
-0.00045002,-0.096205,0,1,0.023,0.023,1,0
-0.00046959,-0.096203,0,1,0.024,0.024,1,0
-0.00048915,-0.096201,0,1,0.025,0.025,1,0
-0.00050872,-0.096199,0,1,0.026,0.026,1,0
-0.00052829,-0.096197,0,1,0.027,0.027,1,0
-0.00054785,-0.096195,0,1,0.028,0.028,1,0
-0.00056742,-0.096193,0,1,0.029,0.029,1,0
-0.00058698,-0.096191,0,1,0.03,0.03,1,0
-0.00060655,-0.096189,0,1,0.031,0.031,1,0
