"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.12914,0,1,0,0,1,0
-0.00027539,-0.12911,0,1,0.05,0.05,1,0
-0.00053968,-0.12904,0,1,0.1,0.1,1,0
-0.00078443,-0.12892,0,1,0.15,0.15,1,0
-0.0010052,-0.12877,0,1,0.2,0.2,1,0
-0.0012031,-0.12859,0,1,0.25,0.25,1,0
-0.0013488,-0.12837,0,1,0.3,0.3,1,0
-0.0014661,-0.12814,0,1,0.35,0.35,1,0
-0.0015433,-0.1279,0,1,0.4,0.4,1,0
-0.001572,-0.12765,0,1,0.45,0.45,1,0
-0.001577,-0.1274,0,1,0.5,0.5,1,0
-0.0015245,-0.12717,0,1,0.55,0.55,1,0
-0.0014539,-0.12694,0,1,0.6,0.6,1,0
-0.0013393,-0.12673,0,1,0.65,0.65,1,0
-0.0012018,-0.12654,0,1,0.7,0.7,1,0
-0.0010457,-0.12638,0,1,0.75,0.75,1,0
-0.00085426,-0.12625,0,1,0.8,0.8,1,0
-0.00066281,-0.12612,0,1,0.85,0.85,1,0
-0.0004461,-0.12606,0,1,0.9,0.9,1,0
-0.00022305,-0.12601,0,1,0.95,0.95,1,0
0,-0.12597,0,1,1,1,1,0
