"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.054773,0,1,0,0,0.5,0
-1.7977e-05,-0.054773,0,1,0.001,0.001,0.5,0
-3.5953e-05,-0.054772,0,1,0.002,0.002,0.5,0
-5.393e-05,-0.054772,0,1,0.003,0.003,0.5,0
-7.1906e-05,-0.054771,0,1,0.004,0.004,0.5,0
-8.9883e-05,-0.054771,0,1,0.005,0.005,0.5,0
-0.00010786,-0.05477,0,1,0.006,0.006,0.5,0
-0.00012584,-0.05477,0,1,0.007,0.007,0.5,0
-0.00014381,-0.054769,0,1,0.008,0.008,0.5,0
-0.00016179,-0.054769,0,1,0.009,0.009,0.5,0
-0.00017977,-0.054769,0,1,0.01,0.01,0.5,0
-0.00019774,-0.054768,0,1,0.011,0.011,0.5,0
-0.00021572,-0.054768,0,1,0.012,0.012,0.5,0
-0.0002337,-0.054767,0,1,0.013,0.013,0.5,0
-0.00025167,-0.054767,0,1,0.014,0.014,0.5,0
-0.00026965,-0.054766,0,1,0.015,0.015,0.5,0
-0.00028763,-0.054766,0,1,0.016,0.016,0.5,0
-0.0003056,-0.054765,0,1,0.017,0.017,0.5,0
-0.00032358,-0.054765,0,1,0.018,0.018,0.5,0
-0.00034156,-0.054764,0,1,0.019,0.019,0.5,0
-0.00035944,-0.054763,0,1,0.02,0.02,0.5,0
-0.00037722,-0.054761,0,1,0.021,0.021,0.5,0
-0.00039501,-0.054759,0,1,0.022,0.022,0.5,0
-0.00041279,-0.054757,0,1,0.023,0.023,0.5,0
-0.00043057,-0.054755,0,1,0.024,0.024,0.5,0
-0.00044835,-0.054753,0,1,0.025,0.025,0.5,0
-0.00046613,-0.054752,0,1,0.026,0.026,0.5,0
-0.00048391,-0.05475,0,1,0.027,0.027,0.5,0
-0.00050169,-0.054748,0,1,0.028,0.028,0.5,0
-0.00051947,-0.054746,0,1,0.029,0.029,0.5,0
-0.00053725,-0.054744,0,1,0.03,0.03,0.5,0
-0.00055504,-0.054742,0,1,0.031,0.031,0.5,0
-0.00057282,-0.05474,0,1,0.032,0.032,0.5,0
-0.0005906,-0.054738,0,1,0.033,0.033,0.5,0
-0.00060838,-0.054736,0,1,0.034,0.034,0.5,0
-0.00062616,-0.054734,0,1,0.035,0.035,0.5,0
-0.00064394,-0.054732,0,1,0.036,0.036,0.5,0
-0.00066172,-0.05473,0,1,0.037,0.037,0.5,0
-0.0006795,-0.054728,0,1,0.038,0.038,0.5,0
-0.00069728,-0.054726,0,1,0.039,0.039,0.5,0
-0.00071507,-0.054724,0,1,0.04,0.04,0.5,0
-0.00073285,-0.054722,0,1,0.041,0.041,0.5,0
-0.00074996,-0.05472,0,1,0.042,0.042,0.5,0
-0.00076704,-0.054717,0,1,0.043,0.043,0.5,0
-0.00078412,-0.054714,0,1,0.044,0.044,0.5,0
-0.0008012,-0.054711,0,1,0.045,0.045,0.5,0
-0.00081828,-0.054708,0,1,0.046,0.046,0.5,0
-0.00083535,-0.054705,0,1,0.047,0.047,0.5,0
-0.00085243,-0.054702,0,1,0.048,0.048,0.5,0
-0.00086951,-0.054699,0,1,0.049,0.049,0.5,0
-0.00088659,-0.054696,0,1,0.05,0.05,0.5,0
-0.00090367,-0.054693,0,1,0.051,0.051,0.5,0
-0.00092075,-0.05469,0,1,0.052,0.052,0.5,0
-0.00093783,-0.054687,0,1,0.053,0.053,0.5,0
-0.00095491,-0.054684,0,1,0.054,0.054,0.5,0
-0.00097199,-0.054681,0,1,0.055,0.055,0.5,0
-0.00098906,-0.054678,0,1,0.056,0.056,0.5,0
-0.0010061,-0.054675,0,1,0.057,0.057,0.5,0
-0.0010232,-0.054672,0,1,0.058,0.058,0.5,0
-0.0010403,-0.054669,0,1,0.059,0.059,0.5,0
-0.0010574,-0.054666,0,1,0.06,0.06,0.5,0
-0.0010745,-0.054663,0,1,0.061,0.061,0.5,0
-0.0010915,-0.05466,0,1,0.062,0.062,0.5,0
-0.0011086,-0.054657,0,1,0.063,0.063,0.5,0
-0.0011257,-0.054654,0,1,0.064,0.064,0.5,0
-0.0011424,-0.054651,0,1,0.065,0.065,0.5,0
-0.0011583,-0.054647,0,1,0.066,0.066,0.5,0
