"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.052408,0,1,0,0,0.5,0
-0.00070381,-0.052337,0,1,0.05,0.05,0.5,0
-0.0013084,-0.052164,0,1,0.1,0.1,0.5,0
-0.0017823,-0.051938,0,1,0.15,0.15,0.5,0
-0.0021102,-0.051675,0,1,0.2,0.2,0.5,0
-0.0023394,-0.051402,0,1,0.25,0.25,0.5,0
-0.0024817,-0.051122,0,1,0.3,0.3,0.5,0
-0.0025499,-0.050843,0,1,0.35,0.35,0.5,0
-0.0025533,-0.050556,0,1,0.4,0.4,0.5,0
-0.0025038,-0.050273,0,1,0.45,0.45,0.5,0
-0.0024109,-0.049999,0,1,0.5,0.5,0.5,0
-0.0022826,-0.049732,0,1,0.55,0.55,0.5,0
-0.0021081,-0.049485,0,1,0.6,0.6,0.5,0
-0.0019086,-0.049255,0,1,0.65,0.65,0.5,0
-0.001691,-0.049038,0,1,0.7,0.7,0.5,0
-0.0014387,-0.048866,0,1,0.75,0.75,0.5,0
-0.0011795,-0.048706,0,1,0.8,0.8,0.5,0
-0.00089245,-0.048599,0,1,0.85,0.85,0.5,0
-0.00060287,-0.048504,0,1,0.9,0.9,0.5,0
-0.00030144,-0.048459,0,1,0.95,0.95,0.5,0
0,-0.048415,0,1,1,1,0.5,0
