"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.025981,0,1,0,0,0.2,0
-0.00025374,-0.025999,0,1,0.05,0.05,0.2,0
-0.00047464,-0.026037,0,1,0.1,0.1,0.2,0
-0.0006534,-0.026079,0,1,0.15,0.15,0.2,0
-0.00078566,-0.026114,0,1,0.2,0.2,0.2,0
-0.00088273,-0.026138,0,1,0.25,0.25,0.2,0
-0.00094774,-0.02615,0,1,0.3,0.3,0.2,0
-0.00098383,-0.026153,0,1,0.35,0.35,0.2,0
-0.00099437,-0.026147,0,1,0.4,0.4,0.2,0
-0.00098188,-0.026134,0,1,0.45,0.45,0.2,0
-0.00095066,-0.026117,0,1,0.5,0.5,0.2,0
-0.0009048,-0.026097,0,1,0.55,0.55,0.2,0
-0.0008382,-0.026075,0,1,0.6,0.6,0.2,0
-0.00076056,-0.026052,0,1,0.65,0.65,0.2,0
-0.00067489,-0.02603,0,1,0.7,0.7,0.2,0
-0.00057372,-0.026011,0,1,0.75,0.75,0.2,0
-0.00046987,-0.025992,0,1,0.8,0.8,0.2,0
-0.00035586,-0.025979,0,1,0.85,0.85,0.2,0
-0.00024074,-0.025967,0,1,0.9,0.9,0.2,0
-0.00012037,-0.025963,0,1,0.95,0.95,0.2,0
0,-0.025958,0,1,1,1,0.2,0
