"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.011673,0,1,0,0,0.2,0
-3.625e-05,-0.011674,0,1,0.001,0.001,0.2,0
-7.2499e-05,-0.011675,0,1,0.002,0.002,0.2,0
-0.00010875,-0.011676,0,1,0.003,0.003,0.2,0
-0.000145,-0.011677,0,1,0.004,0.004,0.2,0
-0.00018125,-0.011678,0,1,0.005,0.005,0.2,0
-0.0002175,-0.011679,0,1,0.006,0.006,0.2,0
-0.00025375,-0.01168,0,1,0.007,0.007,0.2,0
-0.00029,-0.011681,0,1,0.008,0.008,0.2,0
-0.00032625,-0.011682,0,1,0.009,0.009,0.2,0
-0.0003625,-0.011683,0,1,0.01,0.01,0.2,0
-0.00039874,-0.011684,0,1,0.011,0.011,0.2,0
-0.00043499,-0.011685,0,1,0.012,0.012,0.2,0
-0.00047124,-0.011686,0,1,0.013,0.013,0.2,0
-0.00050749,-0.011687,0,1,0.014,0.014,0.2,0
-0.00054374,-0.011687,0,1,0.015,0.015,0.2,0
-0.00057999,-0.011688,0,1,0.016,0.016,0.2,0
-0.00061624,-0.011689,0,1,0.017,0.017,0.2,0
-0.00065249,-0.01169,0,1,0.018,0.018,0.2,0
-0.00068874,-0.011691,0,1,0.019,0.019,0.2,0
-0.00072483,-0.011692,0,1,0.02,0.02,0.2,0
-0.00076072,-0.011693,0,1,0.021,0.021,0.2,0
-0.00079661,-0.011694,0,1,0.022,0.022,0.2,0
-0.0008325,-0.011695,0,1,0.023,0.023,0.2,0
-0.00086839,-0.011696,0,1,0.024,0.024,0.2,0
-0.00090428,-0.011697,0,1,0.025,0.025,0.2,0
-0.00094017,-0.011698,0,1,0.026,0.026,0.2,0
-0.00097606,-0.011699,0,1,0.027,0.027,0.2,0
-0.0010119,-0.0117,0,1,0.028,0.028,0.2,0
-0.0010478,-0.011701,0,1,0.029,0.029,0.2,0
-0.0010837,-0.011702,0,1,0.03,0.03,0.2,0
-0.0011196,-0.011703,0,1,0.031,0.031,0.2,0
-0.0011555,-0.011704,0,1,0.032,0.032,0.2,0
-0.0011914,-0.011705,0,1,0.033,0.033,0.2,0
-0.0012273,-0.011706,0,1,0.034,0.034,0.2,0
-0.0012632,-0.011707,0,1,0.035,0.035,0.2,0
-0.0012991,-0.011708,0,1,0.036,0.036,0.2,0
-0.001335,-0.011709,0,1,0.037,0.037,0.2,0
-0.0013708,-0.01171,0,1,0.038,0.038,0.2,0
-0.0014067,-0.011711,0,1,0.039,0.039,0.2,0
-0.0014426,-0.011712,0,1,0.04,0.04,0.2,0
-0.0014785,-0.011713,0,1,0.041,0.041,0.2,0
-0.0015129,-0.011715,0,1,0.042,0.042,0.2,0
-0.0015473,-0.011717,0,1,0.043,0.043,0.2,0
-0.0015816,-0.011718,0,1,0.044,0.044,0.2,0
-0.001616,-0.01172,0,1,0.045,0.045,0.2,0
-0.0016503,-0.011721,0,1,0.046,0.046,0.2,0
-0.0016847,-0.011723,0,1,0.047,0.047,0.2,0
-0.001719,-0.011724,0,1,0.048,0.048,0.2,0
-0.0017534,-0.011726,0,1,0.049,0.049,0.2,0
-0.0017877,-0.011728,0,1,0.05,0.05,0.2,0
-0.0018221,-0.011729,0,1,0.051,0.051,0.2,0
-0.0018564,-0.011731,0,1,0.052,0.052,0.2,0
-0.0018908,-0.011732,0,1,0.053,0.053,0.2,0
-0.0019251,-0.011734,0,1,0.054,0.054,0.2,0
-0.0019595,-0.011736,0,1,0.055,0.055,0.2,0
-0.0019938,-0.011737,0,1,0.056,0.056,0.2,0
-0.0020282,-0.011739,0,1,0.057,0.057,0.2,0
-0.0020625,-0.01174,0,1,0.058,0.058,0.2,0
-0.0020969,-0.011742,0,1,0.059,0.059,0.2,0
-0.0021312,-0.011743,0,1,0.06,0.06,0.2,0
-0.0021656,-0.011745,0,1,0.061,0.061,0.2,0
-0.0021999,-0.011747,0,1,0.062,0.062,0.2,0
-0.0022342,-0.011748,0,1,0.063,0.063,0.2,0
-0.0022686,-0.01175,0,1,0.064,0.064,0.2,0
-0.0023022,-0.011751,0,1,0.065,0.065,0.2,0
-0.0023342,-0.011753,0,1,0.066,0.066,0.2,0
-0.0023662,-0.011755,0,1,0.067,0.067,0.2,0
-0.0023982,-0.011757,0,1,0.068,0.068,0.2,0
-0.0024302,-0.011759,0,1,0.069,0.069,0.2,0
-0.0024622,-0.01176,0,1,0.07,0.07,0.2,0
-0.0024942,-0.011762,0,1,0.071,0.071,0.2,0
-0.0025262,-0.011764,0,1,0.072,0.072,0.2,0
-0.0025582,-0.011766,0,1,0.073,0.073,0.2,0
-0.0025901,-0.011768,0,1,0.074,0.074,0.2,0
-0.0026221,-0.011769,0,1,0.075,0.075,0.2,0
-0.0026541,-0.011771,0,1,0.076,0.076,0.2,0
-0.0026861,-0.011773,0,1,0.077,0.077,0.2,0
-0.0027181,-0.011775,0,1,0.078,0.078,0.2,0
-0.0027501,-0.011776,0,1,0.079,0.079,0.2,0
-0.0027821,-0.011778,0,1,0.08,0.08,0.2,0
-0.0028141,-0.01178,0,1,0.081,0.081,0.2,0
-0.0028461,-0.011782,0,1,0.082,0.082,0.2,0
-0.0028781,-0.011784,0,1,0.083,0.083,0.2,0
-0.00291,-0.011785,0,1,0.084,0.084,0.2,0
-0.002942,-0.011787,0,1,0.085,0.085,0.2,0
-0.002974,-0.011789,0,1,0.086,0.086,0.2,0
-0.003006,-0.011791,0,1,0.087,0.087,0.2,0
-0.003038,-0.011793,0,1,0.088,0.088,0.2,0
-0.00307,-0.011794,0,1,0.089,0.089,0.2,0
-0.003102,-0.011796,0,1,0.09,0.09,0.2,0
-0.0031331,-0.011798,0,1,0.091,0.091,0.2,0
-0.0031621,-0.0118,0,1,0.092,0.092,0.2,0
-0.0031911,-0.011802,0,1,0.093,0.093,0.2,0
-0.0032201,-0.011804,0,1,0.094,0.094,0.2,0
-0.003249,-0.011805,0,1,0.095,0.095,0.2,0
-0.003278,-0.011807,0,1,0.096,0.096,0.2,0
-0.003307,-0.011809,0,1,0.097,0.097,0.2,0
-0.003336,-0.011811,0,1,0.098,0.098,0.2,0
-0.0033649,-0.011813,0,1,0.099,0.099,0.2,0
-0.0033939,-0.011815,0,1,0.1,0.1,0.2,0
-0.0034229,-0.011816,0,1,0.101,0.101,0.2,0
-0.0034519,-0.011818,0,1,0.102,0.102,0.2,0
-0.0034809,-0.01182,0,1,0.103,0.103,0.2,0
-0.0035098,-0.011822,0,1,0.104,0.104,0.2,0
