"f_381-2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.38745,1,0,0,0.025,0
0.3868,1,0.05,0.05,0.025,0
0.38254,1,0.1,0.1,0.025,0
0.37468,1,0.15,0.15,0.025,0
0.3675,1,0.2,0.2,0.025,0
0.36327,1,0.25,0.25,0.025,0
0.34843,1,0.3,0.3,0.025,0
0.33028,1,0.35,0.35,0.025,0
0.30899,1,0.4,0.4,0.025,0
0.29315,1,0.45,0.45,0.025,0
0.28473,1,0.5,0.5,0.025,0
0.25772,1,0.55,0.55,0.025,0
0.22819,1,0.6,0.6,0.025,0
0.20724,1,0.65,0.65,0.025,0
0.17408,1,0.7,0.7,0.025,0
0.1626,1,0.75,0.75,0.025,0
0.12709,1,0.8,0.8,0.025,0
0.090141,1,0.85,0.85,0.025,0
0.064858,1,0.9,0.9,0.025,0
0.026181,1,0.95,0.95,0.025,0
0.013136,1,1,1,0.025,0
