"f_10549-0:0","f_10549-0:1","f_10549-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.1454e-05,0,0,1,0,0.5,0,0
2.1454e-05,-8.6157e-08,0,1,0.001,0.5,0.001,0
2.1454e-05,-1.7231e-07,0,1,0.002,0.5,0.002,0
2.1454e-05,-2.5847e-07,0,1,0.003,0.5,0.003,0
2.1454e-05,-3.4463e-07,0,1,0.004,0.5,0.004,0
2.1454e-05,-4.3078e-07,0,1,0.005,0.5,0.005,0
2.1454e-05,-5.1694e-07,0,1,0.006,0.5,0.006,0
2.1454e-05,-6.031e-07,0,1,0.007,0.5,0.007,0
2.1454e-05,-6.8925e-07,0,1,0.008,0.5,0.008,0
2.1454e-05,-7.7541e-07,0,1,0.009,0.5,0.009,0
2.1454e-05,-8.6157e-07,0,1,0.01,0.5,0.01,0
2.1454e-05,-9.4772e-07,0,1,0.011,0.5,0.011,0
2.1454e-05,-1.0339e-06,0,1,0.012,0.5,0.012,0
2.1454e-05,-1.12e-06,0,1,0.013,0.5,0.013,0
2.1454e-05,-1.2062e-06,0,1,0.014,0.5,0.014,0
2.1454e-05,-1.2924e-06,0,1,0.015,0.5,0.015,0
2.1454e-05,-1.3785e-06,0,1,0.016,0.5,0.016,0
2.1454e-05,-1.4647e-06,0,1,0.017,0.5,0.017,0
2.1454e-05,-1.5508e-06,0,1,0.018,0.5,0.018,0
2.1454e-05,-1.637e-06,0,1,0.019,0.5,0.019,0
2.1454e-05,-1.7231e-06,0,1,0.02,0.5,0.02,0
2.1454e-05,-1.8093e-06,0,1,0.021,0.5,0.021,0
2.1454e-05,-1.8954e-06,0,1,0.022,0.5,0.022,0
2.1454e-05,-1.9816e-06,0,1,0.023,0.5,0.023,0
2.1454e-05,-2.0678e-06,0,1,0.024,0.5,0.024,0
2.1454e-05,-2.1539e-06,0,1,0.025,0.5,0.025,0
2.1454e-05,-2.2401e-06,0,1,0.026,0.5,0.026,0
2.1454e-05,-2.3262e-06,0,1,0.027,0.5,0.027,0
2.1454e-05,-2.4124e-06,0,1,0.028,0.5,0.028,0
2.1454e-05,-2.4985e-06,0,1,0.029,0.5,0.029,0
2.1454e-05,-2.5847e-06,0,1,0.03,0.5,0.03,0
2.1454e-05,-2.6709e-06,0,1,0.031,0.5,0.031,0
2.1454e-05,-2.757e-06,0,1,0.032,0.5,0.032,0
2.1454e-05,-2.8432e-06,0,1,0.033,0.5,0.033,0
2.1454e-05,-2.9293e-06,0,1,0.034,0.5,0.034,0
2.1454e-05,-3.0155e-06,0,1,0.035,0.5,0.035,0
2.1454e-05,-3.1016e-06,0,1,0.036,0.5,0.036,0
2.1454e-05,-3.1878e-06,0,1,0.037,0.5,0.037,0
2.1454e-05,-3.274e-06,0,1,0.038,0.5,0.038,0
2.1454e-05,-3.3601e-06,0,1,0.039,0.5,0.039,0
2.1454e-05,-3.4463e-06,0,1,0.04,0.5,0.04,0
2.1454e-05,-3.5324e-06,0,1,0.041,0.5,0.041,0
2.1454e-05,-3.6186e-06,0,1,0.042,0.5,0.042,0
2.1454e-05,-3.7047e-06,0,1,0.043,0.5,0.043,0
2.1454e-05,-3.7909e-06,0,1,0.044,0.5,0.044,0
2.1454e-05,-3.8771e-06,0,1,0.045,0.5,0.045,0
2.1454e-05,-3.9632e-06,0,1,0.046,0.5,0.046,0
2.1454e-05,-4.0494e-06,0,1,0.047,0.5,0.047,0
2.1454e-05,-4.1355e-06,0,1,0.048,0.5,0.048,0
2.1454e-05,-4.2217e-06,0,1,0.049,0.5,0.049,0
2.1454e-05,-4.3078e-06,0,1,0.05,0.5,0.05,0
2.1454e-05,-4.394e-06,0,1,0.051,0.5,0.051,0
2.1454e-05,-4.4802e-06,0,1,0.052,0.5,0.052,0
2.1454e-05,-4.5663e-06,0,1,0.053,0.5,0.053,0
2.1454e-05,-4.6525e-06,0,1,0.054,0.5,0.054,0
2.1454e-05,-4.7386e-06,0,1,0.055,0.5,0.055,0
2.1454e-05,-4.8248e-06,0,1,0.056,0.5,0.056,0
2.1454e-05,-4.9109e-06,0,1,0.057,0.5,0.057,0
2.1454e-05,-4.9971e-06,0,1,0.058,0.5,0.058,0
2.1454e-05,-5.0832e-06,0,1,0.059,0.5,0.059,0
2.1454e-05,-5.1694e-06,0,1,0.06,0.5,0.06,0
2.1454e-05,-5.2556e-06,0,1,0.061,0.5,0.061,0
2.1454e-05,-5.3417e-06,0,1,0.062,0.5,0.062,0
2.1454e-05,-5.4279e-06,0,1,0.063,0.5,0.063,0
2.1454e-05,-5.514e-06,0,1,0.064,0.5,0.064,0
2.1454e-05,-5.6002e-06,0,1,0.065,0.5,0.065,0
2.1454e-05,-5.6863e-06,0,1,0.066,0.5,0.066,0
2.1454e-05,-5.7725e-06,0,1,0.067,0.5,0.067,0
2.1454e-05,-5.8587e-06,0,1,0.068,0.5,0.068,0
2.1454e-05,-5.9448e-06,0,1,0.069,0.5,0.069,0
2.1454e-05,-6.031e-06,0,1,0.07,0.5,0.07,0
2.1454e-05,-6.1171e-06,0,1,0.071,0.5,0.071,0
2.1454e-05,-6.2033e-06,0,1,0.072,0.5,0.072,0
2.1454e-05,-6.2894e-06,0,1,0.073,0.5,0.073,0
2.1454e-05,-6.3756e-06,0,1,0.074,0.5,0.074,0
2.1454e-05,-6.4618e-06,0,1,0.075,0.5,0.075,0
2.1454e-05,-6.5479e-06,0,1,0.076,0.5,0.076,0
2.1454e-05,-6.6341e-06,0,1,0.077,0.5,0.077,0
2.1454e-05,-6.7202e-06,0,1,0.078,0.5,0.078,0
2.1454e-05,-6.8064e-06,0,1,0.079,0.5,0.079,0
2.1454e-05,-6.8925e-06,0,1,0.08,0.5,0.08,0
2.1454e-05,-6.9787e-06,0,1,0.081,0.5,0.081,0
2.1454e-05,-7.0649e-06,0,1,0.082,0.5,0.082,0
2.1454e-05,-7.151e-06,0,1,0.083,0.5,0.083,0
2.1454e-05,-7.2372e-06,0,1,0.084,0.5,0.084,0
2.1454e-05,-7.3233e-06,0,1,0.085,0.5,0.085,0
2.1454e-05,-7.4095e-06,0,1,0.086,0.5,0.086,0
2.1454e-05,-7.4956e-06,0,1,0.087,0.5,0.087,0
2.1454e-05,-7.5818e-06,0,1,0.088,0.5,0.088,0
2.1454e-05,-7.6679e-06,0,1,0.089,0.5,0.089,0
2.1454e-05,-7.7541e-06,0,1,0.09,0.5,0.09,0
2.1454e-05,-7.8403e-06,0,1,0.091,0.5,0.091,0
2.1454e-05,-7.9264e-06,0,1,0.092,0.5,0.092,0
2.1454e-05,-8.0126e-06,0,1,0.093,0.5,0.093,0
2.1454e-05,-8.0987e-06,0,1,0.094,0.5,0.094,0
2.1454e-05,-8.1849e-06,0,1,0.095,0.5,0.095,0
2.1454e-05,-8.271e-06,0,1,0.096,0.5,0.096,0
2.1454e-05,-8.3572e-06,0,1,0.097,0.5,0.097,0
2.1454e-05,-8.4434e-06,0,1,0.098,0.5,0.098,0
2.1454e-05,-8.5295e-06,0,1,0.099,0.5,0.099,0
2.1454e-05,-8.6157e-06,0,1,0.1,0.5,0.1,0
2.1454e-05,-8.7018e-06,0,1,0.101,0.5,0.101,0
2.1454e-05,-8.788e-06,0,1,0.102,0.5,0.102,0
2.1454e-05,-8.8741e-06,0,1,0.103,0.5,0.103,0
2.1454e-05,-8.9603e-06,0,1,0.104,0.5,0.104,0
