"f_10549-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.71551,1,0,0,0.5,0
0.71549,1,0.001,0.001,0.5,0
0.71547,1,0.002,0.002,0.5,0
0.71546,1,0.003,0.003,0.5,0
0.71544,1,0.004,0.004,0.5,0
0.71542,1,0.005,0.005,0.5,0
0.71541,1,0.006,0.006,0.5,0
0.71539,1,0.007,0.007,0.5,0
0.71537,1,0.008,0.008,0.5,0
0.71535,1,0.009,0.009,0.5,0
0.71534,1,0.01,0.01,0.5,0
0.71532,1,0.011,0.011,0.5,0
0.7153,1,0.012,0.012,0.5,0
0.71528,1,0.013,0.013,0.5,0
0.71527,1,0.014,0.014,0.5,0
0.71525,1,0.015,0.015,0.5,0
0.71523,1,0.016,0.016,0.5,0
0.71522,1,0.017,0.017,0.5,0
0.7152,1,0.018,0.018,0.5,0
0.71518,1,0.019,0.019,0.5,0
0.71516,1,0.02,0.02,0.5,0
0.71514,1,0.021,0.021,0.5,0
0.71509,1,0.022,0.022,0.5,0
0.71504,1,0.023,0.023,0.5,0
0.71499,1,0.024,0.024,0.5,0
0.71493,1,0.025,0.025,0.5,0
0.71488,1,0.026,0.026,0.5,0
0.71483,1,0.027,0.027,0.5,0
0.71478,1,0.028,0.028,0.5,0
0.71473,1,0.029,0.029,0.5,0
0.71467,1,0.03,0.03,0.5,0
0.71462,1,0.031,0.031,0.5,0
0.71457,1,0.032,0.032,0.5,0
0.71452,1,0.033,0.033,0.5,0
0.71447,1,0.034,0.034,0.5,0
0.71442,1,0.035,0.035,0.5,0
0.71436,1,0.036,0.036,0.5,0
0.71431,1,0.037,0.037,0.5,0
0.71426,1,0.038,0.038,0.5,0
0.71421,1,0.039,0.039,0.5,0
0.71416,1,0.04,0.04,0.5,0
0.71411,1,0.041,0.041,0.5,0
0.71404,1,0.042,0.042,0.5,0
0.71396,1,0.043,0.043,0.5,0
0.71387,1,0.044,0.044,0.5,0
0.71378,1,0.045,0.045,0.5,0
0.7137,1,0.046,0.046,0.5,0
0.71361,1,0.047,0.047,0.5,0
0.71352,1,0.048,0.048,0.5,0
0.71344,1,0.049,0.049,0.5,0
0.71335,1,0.05,0.05,0.5,0
0.71327,1,0.051,0.051,0.5,0
0.71318,1,0.052,0.052,0.5,0
0.71309,1,0.053,0.053,0.5,0
0.71301,1,0.054,0.054,0.5,0
0.71292,1,0.055,0.055,0.5,0
0.71283,1,0.056,0.056,0.5,0
0.71275,1,0.057,0.057,0.5,0
0.71266,1,0.058,0.058,0.5,0
0.71258,1,0.059,0.059,0.5,0
0.71249,1,0.06,0.06,0.5,0
0.7124,1,0.061,0.061,0.5,0
0.71232,1,0.062,0.062,0.5,0
0.71221,1,0.063,0.063,0.5,0
0.71209,1,0.064,0.064,0.5,0
0.71197,1,0.065,0.065,0.5,0
0.71185,1,0.066,0.066,0.5,0
0.71173,1,0.067,0.067,0.5,0
0.71161,1,0.068,0.068,0.5,0
0.71149,1,0.069,0.069,0.5,0
0.71137,1,0.07,0.07,0.5,0
0.71125,1,0.071,0.071,0.5,0
0.71113,1,0.072,0.072,0.5,0
0.71101,1,0.073,0.073,0.5,0
0.71089,1,0.074,0.074,0.5,0
0.71077,1,0.075,0.075,0.5,0
0.71064,1,0.076,0.076,0.5,0
0.71052,1,0.077,0.077,0.5,0
0.7104,1,0.078,0.078,0.5,0
0.71028,1,0.079,0.079,0.5,0
0.71016,1,0.08,0.08,0.5,0
0.71004,1,0.081,0.081,0.5,0
0.70992,1,0.082,0.082,0.5,0
0.7098,1,0.083,0.083,0.5,0
0.70966,1,0.084,0.084,0.5,0
0.7095,1,0.085,0.085,0.5,0
0.70935,1,0.086,0.086,0.5,0
0.70919,1,0.087,0.087,0.5,0
0.70904,1,0.088,0.088,0.5,0
0.70888,1,0.089,0.089,0.5,0
0.70873,1,0.09,0.09,0.5,0
0.70857,1,0.091,0.091,0.5,0
0.70842,1,0.092,0.092,0.5,0
0.70826,1,0.093,0.093,0.5,0
0.70811,1,0.094,0.094,0.5,0
0.70795,1,0.095,0.095,0.5,0
0.7078,1,0.096,0.096,0.5,0
0.70764,1,0.097,0.097,0.5,0
0.70749,1,0.098,0.098,0.5,0
0.70733,1,0.099,0.099,0.5,0
0.70718,1,0.1,0.1,0.5,0
0.70702,1,0.101,0.101,0.5,0
0.70687,1,0.102,0.102,0.5,0
0.70671,1,0.103,0.103,0.5,0
0.70656,1,0.104,0.104,0.5,0
0.70637,1,0.105,0.105,0.5,0
0.70618,1,0.106,0.106,0.5,0
0.70599,1,0.107,0.107,0.5,0
0.70581,1,0.108,0.108,0.5,0
0.70562,1,0.109,0.109,0.5,0
0.70543,1,0.11,0.11,0.5,0
0.70524,1,0.111,0.111,0.5,0
0.70505,1,0.112,0.112,0.5,0
0.70486,1,0.113,0.113,0.5,0
0.70467,1,0.114,0.114,0.5,0
0.70448,1,0.115,0.115,0.5,0
0.70429,1,0.116,0.116,0.5,0
0.7041,1,0.117,0.117,0.5,0
0.70391,1,0.118,0.118,0.5,0
0.70372,1,0.119,0.119,0.5,0
0.70354,1,0.12,0.12,0.5,0
0.70335,1,0.121,0.121,0.5,0
0.70316,1,0.122,0.122,0.5,0
0.70297,1,0.123,0.123,0.5,0
0.70278,1,0.124,0.124,0.5,0
0.70259,1,0.125,0.125,0.5,0
0.70237,1,0.126,0.126,0.5,0
0.70214,1,0.127,0.127,0.5,0
0.70192,1,0.128,0.128,0.5,0
0.7017,1,0.129,0.129,0.5,0
0.70147,1,0.13,0.13,0.5,0
0.70125,1,0.131,0.131,0.5,0
0.70103,1,0.132,0.132,0.5,0
0.7008,1,0.133,0.133,0.5,0
0.70058,1,0.134,0.134,0.5,0
0.70036,1,0.135,0.135,0.5,0
0.70013,1,0.136,0.136,0.5,0
0.69991,1,0.137,0.137,0.5,0
0.69969,1,0.138,0.138,0.5,0
0.69946,1,0.139,0.139,0.5,0
0.69924,1,0.14,0.14,0.5,0
0.69902,1,0.141,0.141,0.5,0
0.69879,1,0.142,0.142,0.5,0
0.69857,1,0.143,0.143,0.5,0
0.69835,1,0.144,0.144,0.5,0
0.69812,1,0.145,0.145,0.5,0
0.69789,1,0.146,0.146,0.5,0
0.69764,1,0.147,0.147,0.5,0
0.69738,1,0.148,0.148,0.5,0
0.69712,1,0.149,0.149,0.5,0
0.69687,1,0.15,0.15,0.5,0
0.69661,1,0.151,0.151,0.5,0
0.69635,1,0.152,0.152,0.5,0
0.69609,1,0.153,0.153,0.5,0
0.69584,1,0.154,0.154,0.5,0
0.69558,1,0.155,0.155,0.5,0
0.69532,1,0.156,0.156,0.5,0
0.69507,1,0.157,0.157,0.5,0
0.69481,1,0.158,0.158,0.5,0
0.69455,1,0.159,0.159,0.5,0
0.69429,1,0.16,0.16,0.5,0
0.69404,1,0.161,0.161,0.5,0
0.69378,1,0.162,0.162,0.5,0
0.69352,1,0.163,0.163,0.5,0
0.69327,1,0.164,0.164,0.5,0
0.69301,1,0.165,0.165,0.5,0
0.69275,1,0.166,0.166,0.5,0
0.69248,1,0.167,0.167,0.5,0
0.69219,1,0.168,0.168,0.5,0
0.6919,1,0.169,0.169,0.5,0
0.69161,1,0.17,0.17,0.5,0
0.69132,1,0.171,0.171,0.5,0
0.69103,1,0.172,0.172,0.5,0
0.69074,1,0.173,0.173,0.5,0
0.69045,1,0.174,0.174,0.5,0
0.69016,1,0.175,0.175,0.5,0
0.68987,1,0.176,0.176,0.5,0
0.68957,1,0.177,0.177,0.5,0
0.68928,1,0.178,0.178,0.5,0
0.68899,1,0.179,0.179,0.5,0
0.6887,1,0.18,0.18,0.5,0
0.68841,1,0.181,0.181,0.5,0
0.68812,1,0.182,0.182,0.5,0
0.68783,1,0.183,0.183,0.5,0
0.68754,1,0.184,0.184,0.5,0
0.68725,1,0.185,0.185,0.5,0
0.68696,1,0.186,0.186,0.5,0
0.68667,1,0.187,0.187,0.5,0
0.68636,1,0.188,0.188,0.5,0
0.68603,1,0.189,0.189,0.5,0
0.68571,1,0.19,0.19,0.5,0
0.68538,1,0.191,0.191,0.5,0
0.68506,1,0.192,0.192,0.5,0
0.68474,1,0.193,0.193,0.5,0
0.68441,1,0.194,0.194,0.5,0
0.68409,1,0.195,0.195,0.5,0
0.68376,1,0.196,0.196,0.5,0
0.68344,1,0.197,0.197,0.5,0
0.68311,1,0.198,0.198,0.5,0
0.68279,1,0.199,0.199,0.5,0
0.68247,1,0.2,0.2,0.5,0
0.68214,1,0.201,0.201,0.5,0
0.68182,1,0.202,0.202,0.5,0
0.68149,1,0.203,0.203,0.5,0
0.68117,1,0.204,0.204,0.5,0
0.68084,1,0.205,0.205,0.5,0
0.68052,1,0.206,0.206,0.5,0
0.68019,1,0.207,0.207,0.5,0
0.67987,1,0.208,0.208,0.5,0
0.67952,1,0.209,0.209,0.5,0
0.67917,1,0.21,0.21,0.5,0
0.67881,1,0.211,0.211,0.5,0
0.67845,1,0.212,0.212,0.5,0
0.67809,1,0.213,0.213,0.5,0
0.67774,1,0.214,0.214,0.5,0
0.67738,1,0.215,0.215,0.5,0
0.67702,1,0.216,0.216,0.5,0
0.67666,1,0.217,0.217,0.5,0
0.67631,1,0.218,0.218,0.5,0
0.67595,1,0.219,0.219,0.5,0
0.67559,1,0.22,0.22,0.5,0
0.67523,1,0.221,0.221,0.5,0
0.67488,1,0.222,0.222,0.5,0
0.67452,1,0.223,0.223,0.5,0
0.67416,1,0.224,0.224,0.5,0
0.6738,1,0.225,0.225,0.5,0
0.67344,1,0.226,0.226,0.5,0
0.67309,1,0.227,0.227,0.5,0
0.67273,1,0.228,0.228,0.5,0
0.67237,1,0.229,0.229,0.5,0
0.67199,1,0.23,0.23,0.5,0
0.6716,1,0.231,0.231,0.5,0
0.67121,1,0.232,0.232,0.5,0
0.67081,1,0.233,0.233,0.5,0
0.67042,1,0.234,0.234,0.5,0
0.67003,1,0.235,0.235,0.5,0
0.66964,1,0.236,0.236,0.5,0
0.66925,1,0.237,0.237,0.5,0
0.66886,1,0.238,0.238,0.5,0
0.66847,1,0.239,0.239,0.5,0
0.66808,1,0.24,0.24,0.5,0
0.66769,1,0.241,0.241,0.5,0
0.6673,1,0.242,0.242,0.5,0
0.66691,1,0.243,0.243,0.5,0
0.66652,1,0.244,0.244,0.5,0
0.66613,1,0.245,0.245,0.5,0
0.66574,1,0.246,0.246,0.5,0
0.66535,1,0.247,0.247,0.5,0
0.66496,1,0.248,0.248,0.5,0
0.66457,1,0.249,0.249,0.5,0
0.66417,1,0.25,0.25,0.5,0
