"f_381-0:0","f_381-0:1","f_381-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-5.013e-05,0,1,0,0,0.8,0
2.2256e-06,-5.016e-05,0,1,0.033333,0.033333,0.8,0
4.4335e-06,-5.0198e-05,0,1,0.066667,0.066667,0.8,0
6.6565e-06,-5.0289e-05,0,1,0.1,0.1,0.8,0
8.8607e-06,-5.0395e-05,0,1,0.13333,0.13333,0.8,0
1.1078e-05,-5.055e-05,0,1,0.16667,0.16667,0.8,0
1.3274e-05,-5.0728e-05,0,1,0.2,0.2,0.8,0
1.5481e-05,-5.0949e-05,0,1,0.23333,0.23333,0.8,0
1.7664e-05,-5.1203e-05,0,1,0.26667,0.26667,0.8,0
1.9856e-05,-5.1494e-05,0,1,0.3,0.3,0.8,0
2.2018e-05,-5.1828e-05,0,1,0.33333,0.33333,0.8,0
2.4182e-05,-5.2192e-05,0,1,0.36667,0.36667,0.8,0
2.6317e-05,-5.2612e-05,0,1,0.4,0.4,0.8,0
2.8446e-05,-5.305e-05,0,1,0.43333,0.43333,0.8,0
3.0541e-05,-5.3561e-05,0,1,0.46667,0.46667,0.8,0
3.2622e-05,-5.4073e-05,0,1,0.5,0.5,0.8,0
3.4659e-05,-5.4675e-05,0,1,0.53333,0.53333,0.8,0
3.6674e-05,-5.527e-05,0,1,0.56667,0.56667,0.8,0
3.8636e-05,-5.5946e-05,0,1,0.6,0.6,0.8,0
4.0563e-05,-5.6616e-05,0,1,0.63333,0.63333,0.8,0
4.2431e-05,-5.7355e-05,0,1,0.66667,0.66667,0.8,0
4.4244e-05,-5.8084e-05,0,1,0.7,0.7,0.8,0
4.5996e-05,-5.8868e-05,0,1,0.73333,0.73333,0.8,0
4.767e-05,-5.9631e-05,0,1,0.76667,0.76667,0.8,0
4.9284e-05,-6.0438e-05,0,1,0.8,0.8,0.8,0
5.0791e-05,-6.1202e-05,0,1,0.83333,0.83333,0.8,0
5.2245e-05,-6.1986e-05,0,1,0.86667,0.86667,0.8,0
5.3565e-05,-6.2724e-05,0,1,0.9,0.9,0.8,0
5.4843e-05,-6.3449e-05,0,1,0.93333,0.93333,0.8,0
5.5961e-05,-6.4115e-05,0,1,0.96667,0.96667,0.8,0
5.7052e-05,-6.4736e-05,0,1,1,1,0.8,0
