"f_10549-0:0","f_10549-0:1","f_10549-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-3.2429e-05,0,1,0,0,0.5,0
6.4178e-08,-3.2429e-05,0,1,0.001,0.001,0.5,0
1.2836e-07,-3.2429e-05,0,1,0.002,0.002,0.5,0
1.9253e-07,-3.2429e-05,0,1,0.003,0.003,0.5,0
2.5671e-07,-3.2429e-05,0,1,0.004,0.004,0.5,0
3.2089e-07,-3.2429e-05,0,1,0.005,0.005,0.5,0
3.8507e-07,-3.2429e-05,0,1,0.006,0.006,0.5,0
4.4924e-07,-3.2429e-05,0,1,0.007,0.007,0.5,0
5.1342e-07,-3.2429e-05,0,1,0.008,0.008,0.5,0
5.776e-07,-3.2429e-05,0,1,0.009,0.009,0.5,0
6.4178e-07,-3.2429e-05,0,1,0.01,0.01,0.5,0
7.0596e-07,-3.2429e-05,0,1,0.011,0.011,0.5,0
7.7013e-07,-3.2429e-05,0,1,0.012,0.012,0.5,0
8.3431e-07,-3.2429e-05,0,1,0.013,0.013,0.5,0
8.9849e-07,-3.2429e-05,0,1,0.014,0.014,0.5,0
9.6267e-07,-3.2429e-05,0,1,0.015,0.015,0.5,0
1.0268e-06,-3.2429e-05,0,1,0.016,0.016,0.5,0
1.091e-06,-3.2429e-05,0,1,0.017,0.017,0.5,0
1.1552e-06,-3.2429e-05,0,1,0.018,0.018,0.5,0
1.2194e-06,-3.2429e-05,0,1,0.019,0.019,0.5,0
1.2836e-06,-3.2429e-05,0,1,0.02,0.02,0.5,0
1.3477e-06,-3.2429e-05,0,1,0.021,0.021,0.5,0
1.4119e-06,-3.2429e-05,0,1,0.022,0.022,0.5,0
1.4761e-06,-3.2429e-05,0,1,0.023,0.023,0.5,0
1.5403e-06,-3.2429e-05,0,1,0.024,0.024,0.5,0
1.6044e-06,-3.2429e-05,0,1,0.025,0.025,0.5,0
1.6686e-06,-3.2429e-05,0,1,0.026,0.026,0.5,0
1.7328e-06,-3.2429e-05,0,1,0.027,0.027,0.5,0
1.797e-06,-3.2429e-05,0,1,0.028,0.028,0.5,0
1.8612e-06,-3.2429e-05,0,1,0.029,0.029,0.5,0
1.9253e-06,-3.2429e-05,0,1,0.03,0.03,0.5,0
1.9895e-06,-3.2429e-05,0,1,0.031,0.031,0.5,0
2.0537e-06,-3.2429e-05,0,1,0.032,0.032,0.5,0
2.1179e-06,-3.2429e-05,0,1,0.033,0.033,0.5,0
2.182e-06,-3.2429e-05,0,1,0.034,0.034,0.5,0
2.2462e-06,-3.2429e-05,0,1,0.035,0.035,0.5,0
2.3104e-06,-3.2429e-05,0,1,0.036,0.036,0.5,0
2.3746e-06,-3.2429e-05,0,1,0.037,0.037,0.5,0
2.4388e-06,-3.2429e-05,0,1,0.038,0.038,0.5,0
2.5029e-06,-3.2429e-05,0,1,0.039,0.039,0.5,0
2.5671e-06,-3.2429e-05,0,1,0.04,0.04,0.5,0
2.6313e-06,-3.2429e-05,0,1,0.041,0.041,0.5,0
2.6955e-06,-3.2429e-05,0,1,0.042,0.042,0.5,0
2.7596e-06,-3.2429e-05,0,1,0.043,0.043,0.5,0
2.8238e-06,-3.2429e-05,0,1,0.044,0.044,0.5,0
2.888e-06,-3.2429e-05,0,1,0.045,0.045,0.5,0
2.9522e-06,-3.2429e-05,0,1,0.046,0.046,0.5,0
3.0164e-06,-3.2429e-05,0,1,0.047,0.047,0.5,0
3.0805e-06,-3.2429e-05,0,1,0.048,0.048,0.5,0
3.1447e-06,-3.2429e-05,0,1,0.049,0.049,0.5,0
3.2089e-06,-3.2429e-05,0,1,0.05,0.05,0.5,0
3.2731e-06,-3.2429e-05,0,1,0.051,0.051,0.5,0
3.3372e-06,-3.2429e-05,0,1,0.052,0.052,0.5,0
3.4014e-06,-3.2429e-05,0,1,0.053,0.053,0.5,0
3.4656e-06,-3.2429e-05,0,1,0.054,0.054,0.5,0
3.5298e-06,-3.2429e-05,0,1,0.055,0.055,0.5,0
3.594e-06,-3.2429e-05,0,1,0.056,0.056,0.5,0
3.6581e-06,-3.2429e-05,0,1,0.057,0.057,0.5,0
3.7223e-06,-3.2429e-05,0,1,0.058,0.058,0.5,0
3.7865e-06,-3.2429e-05,0,1,0.059,0.059,0.5,0
3.8507e-06,-3.2429e-05,0,1,0.06,0.06,0.5,0
3.9148e-06,-3.2429e-05,0,1,0.061,0.061,0.5,0
3.979e-06,-3.2429e-05,0,1,0.062,0.062,0.5,0
4.0432e-06,-3.2429e-05,0,1,0.063,0.063,0.5,0
4.1074e-06,-3.2429e-05,0,1,0.064,0.064,0.5,0
4.1716e-06,-3.2429e-05,0,1,0.065,0.065,0.5,0
4.2357e-06,-3.2429e-05,0,1,0.066,0.066,0.5,0
4.2999e-06,-3.2429e-05,0,1,0.067,0.067,0.5,0
4.3641e-06,-3.2429e-05,0,1,0.068,0.068,0.5,0
4.4283e-06,-3.2429e-05,0,1,0.069,0.069,0.5,0
4.4924e-06,-3.2429e-05,0,1,0.07,0.07,0.5,0
4.5566e-06,-3.2429e-05,0,1,0.071,0.071,0.5,0
4.6208e-06,-3.2429e-05,0,1,0.072,0.072,0.5,0
4.685e-06,-3.2429e-05,0,1,0.073,0.073,0.5,0
4.7492e-06,-3.2429e-05,0,1,0.074,0.074,0.5,0
4.8133e-06,-3.2429e-05,0,1,0.075,0.075,0.5,0
4.8775e-06,-3.2429e-05,0,1,0.076,0.076,0.5,0
4.9417e-06,-3.2429e-05,0,1,0.077,0.077,0.5,0
5.0059e-06,-3.2429e-05,0,1,0.078,0.078,0.5,0
5.07e-06,-3.2429e-05,0,1,0.079,0.079,0.5,0
5.1342e-06,-3.2429e-05,0,1,0.08,0.08,0.5,0
5.1984e-06,-3.2429e-05,0,1,0.081,0.081,0.5,0
5.2626e-06,-3.2429e-05,0,1,0.082,0.082,0.5,0
5.3268e-06,-3.2429e-05,0,1,0.083,0.083,0.5,0
5.3909e-06,-3.2429e-05,0,1,0.084,0.084,0.5,0
5.4551e-06,-3.2429e-05,0,1,0.085,0.085,0.5,0
5.5193e-06,-3.2429e-05,0,1,0.086,0.086,0.5,0
5.5835e-06,-3.2429e-05,0,1,0.087,0.087,0.5,0
5.6476e-06,-3.2429e-05,0,1,0.088,0.088,0.5,0
5.7118e-06,-3.2429e-05,0,1,0.089,0.089,0.5,0
5.776e-06,-3.2429e-05,0,1,0.09,0.09,0.5,0
5.8402e-06,-3.2429e-05,0,1,0.091,0.091,0.5,0
5.9044e-06,-3.2429e-05,0,1,0.092,0.092,0.5,0
5.9685e-06,-3.2429e-05,0,1,0.093,0.093,0.5,0
6.0327e-06,-3.2429e-05,0,1,0.094,0.094,0.5,0
6.0969e-06,-3.2429e-05,0,1,0.095,0.095,0.5,0
6.1611e-06,-3.2429e-05,0,1,0.096,0.096,0.5,0
6.2252e-06,-3.2429e-05,0,1,0.097,0.097,0.5,0
6.2894e-06,-3.2429e-05,0,1,0.098,0.098,0.5,0
6.3536e-06,-3.2429e-05,0,1,0.099,0.099,0.5,0
6.4178e-06,-3.2429e-05,0,1,0.1,0.1,0.5,0
6.482e-06,-3.2429e-05,0,1,0.101,0.101,0.5,0
6.5461e-06,-3.2429e-05,0,1,0.102,0.102,0.5,0
6.6103e-06,-3.2429e-05,0,1,0.103,0.103,0.5,0
6.6745e-06,-3.2429e-05,0,1,0.104,0.104,0.5,0
6.7387e-06,-3.2429e-05,0,1,0.105,0.105,0.5,0
6.8028e-06,-3.2429e-05,0,1,0.106,0.106,0.5,0
6.867e-06,-3.2429e-05,0,1,0.107,0.107,0.5,0
6.9312e-06,-3.2429e-05,0,1,0.108,0.108,0.5,0
6.9954e-06,-3.2429e-05,0,1,0.109,0.109,0.5,0
7.0596e-06,-3.2429e-05,0,1,0.11,0.11,0.5,0
7.1237e-06,-3.2429e-05,0,1,0.111,0.111,0.5,0
7.1879e-06,-3.2429e-05,0,1,0.112,0.112,0.5,0
7.2521e-06,-3.2429e-05,0,1,0.113,0.113,0.5,0
7.3163e-06,-3.2429e-05,0,1,0.114,0.114,0.5,0
7.3804e-06,-3.2429e-05,0,1,0.115,0.115,0.5,0
7.4446e-06,-3.2429e-05,0,1,0.116,0.116,0.5,0
7.5088e-06,-3.2429e-05,0,1,0.117,0.117,0.5,0
7.573e-06,-3.2429e-05,0,1,0.118,0.118,0.5,0
7.6372e-06,-3.2429e-05,0,1,0.119,0.119,0.5,0
7.7013e-06,-3.2429e-05,0,1,0.12,0.12,0.5,0
7.7655e-06,-3.2429e-05,0,1,0.121,0.121,0.5,0
7.8297e-06,-3.2429e-05,0,1,0.122,0.122,0.5,0
7.8939e-06,-3.2429e-05,0,1,0.123,0.123,0.5,0
7.958e-06,-3.2429e-05,0,1,0.124,0.124,0.5,0
8.0222e-06,-3.2429e-05,0,1,0.125,0.125,0.5,0
8.0864e-06,-3.2429e-05,0,1,0.126,0.126,0.5,0
8.1506e-06,-3.2429e-05,0,1,0.127,0.127,0.5,0
