"f_381-0:0","f_381-0:1","f_381-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0211e-05,0,0,1,0,0.5,0,0
3.0211e-05,-2.2483e-06,0,1,0.033333,0.5,0.033333,0
3.0212e-05,-4.4965e-06,0,1,0.066667,0.5,0.066667,0
3.0215e-05,-6.744e-06,0,1,0.1,0.5,0.1,0
3.0219e-05,-8.9916e-06,0,1,0.13333,0.5,0.13333,0
3.0227e-05,-1.1239e-05,0,1,0.16667,0.5,0.16667,0
3.0236e-05,-1.3487e-05,0,1,0.2,0.5,0.2,0
3.025e-05,-1.5735e-05,0,1,0.23333,0.5,0.23333,0
3.0269e-05,-1.7984e-05,0,1,0.26667,0.5,0.26667,0
3.0292e-05,-2.0233e-05,0,1,0.3,0.5,0.3,0
3.0325e-05,-2.2482e-05,0,1,0.33333,0.5,0.33333,0
3.0363e-05,-2.4732e-05,0,1,0.36667,0.5,0.36667,0
3.0416e-05,-2.6982e-05,0,1,0.4,0.5,0.4,0
3.0474e-05,-2.9233e-05,0,1,0.43333,0.5,0.43333,0
3.0556e-05,-3.1485e-05,0,1,0.46667,0.5,0.46667,0
3.064e-05,-3.3737e-05,0,1,0.5,0.5,0.5,0
3.076e-05,-3.599e-05,0,1,0.53333,0.5,0.53333,0
3.0884e-05,-3.8245e-05,0,1,0.56667,0.5,0.56667,0
3.1047e-05,-4.0501e-05,0,1,0.6,0.5,0.6,0
3.1223e-05,-4.2757e-05,0,1,0.63333,0.5,0.63333,0
3.1438e-05,-4.5016e-05,0,1,0.66667,0.5,0.66667,0
3.1677e-05,-4.7276e-05,0,1,0.7,0.5,0.7,0
3.1955e-05,-4.9539e-05,0,1,0.73333,0.5,0.73333,0
3.227e-05,-5.1804e-05,0,1,0.76667,0.5,0.76667,0
3.2622e-05,-5.4073e-05,0,1,0.8,0.5,0.8,0
3.3025e-05,-5.6346e-05,0,1,0.83333,0.5,0.83333,0
3.346e-05,-5.8623e-05,0,1,0.86667,0.5,0.86667,0
3.3962e-05,-6.0911e-05,0,1,0.9,0.5,0.9,0
3.4487e-05,-6.3202e-05,0,1,0.93333,0.5,0.93333,0
3.5093e-05,-6.5514e-05,0,1,0.96667,0.5,0.96667,0
3.5711e-05,-6.7829e-05,0,1,1,0.5,1,0
