phi,kxx,kyy
0.1847780001,1.8041747462639998e-08,1.8041747462639998e-08
0.1847780001,1.8041747462639998e-08,1.8041747462639998e-08
0.1916990001,2.821880183991e-08,2.821880183991e-08
0.1916990001,2.821880183991e-08,2.821880183991e-08
0.15908900010000002,2.357976886826e-08,2.357976886826e-08
0.15908900010000002,2.357976886826e-08,2.357976886826e-08
0.1512730001,3.0236665219090006e-08,3.0236665219090006e-08
0.1512730001,3.0236665219090006e-08,3.0236665219090006e-08
0.1231680001,1.057360015921e-08,1.057360015921e-08
0.1231680001,1.057360015921e-08,1.057360015921e-08
0.1126110001,5.280908147504001e-09,5.280908147504001e-09
0.1126110001,5.280908147504001e-09,5.280908147504001e-09
0.1239690001,6.359190937385e-09,6.359190937385e-09
0.1239690001,6.359190937385e-09,6.359190937385e-09
0.1073770001,3.877266353312e-09,3.877266353312e-09
0.1073770001,3.877266353312e-09,3.877266353312e-09
0.1075920001,4.9756922477459995e-09,4.9756922477459995e-09
0.1075920001,4.9756922477459995e-09,4.9756922477459995e-09
0.1002450001,2.500261618987e-09,2.500261618987e-09
0.1002450001,2.500261618987e-09,2.500261618987e-09
0.15942600010000002,1.0375722037559999e-08,1.0375722037559999e-08
0.15942600010000002,1.0375722037559999e-08,1.0375722037559999e-08
0.2129260001,2.277907799497e-08,2.277907799497e-08
0.2129260001,2.277907799497e-08,2.277907799497e-08
0.19048500010000002,9.480168096674e-09,9.480168096674e-09
0.19048500010000002,9.480168096674e-09,9.480168096674e-09
0.17000600010000003,3.966198011875e-09,3.966198011875e-09
0.17000600010000003,3.966198011875e-09,3.966198011875e-09
0.16069800010000002,7.68556650642e-09,7.68556650642e-09
0.16069800010000002,7.68556650642e-09,7.68556650642e-09
0.18009800010000002,6.767490975828e-09,6.767490975828e-09
0.18009800010000002,6.767490975828e-09,6.767490975828e-09
0.2623410001,7.140024913879e-08,7.140024913879e-08
0.2623410001,7.140024913879e-08,7.140024913879e-08
0.28482200010000003,1.0514088684219999e-07,1.0514088684219999e-07
0.28482200010000003,1.0514088684219999e-07,1.0514088684219999e-07
0.2533570001,4.7266816299229996e-08,4.7266816299229996e-08
0.2533570001,4.7266816299229996e-08,4.7266816299229996e-08
0.2615920001,6.039309357388999e-08,6.039309357388999e-08
0.2615920001,6.039309357388999e-08,6.039309357388999e-08
0.22007000010000002,2.396634672487e-08,2.396634672487e-08
0.22007000010000002,2.396634672487e-08,2.396634672487e-08
0.2220530001,3.21194187985e-08,3.21194187985e-08
0.2220530001,3.21194187985e-08,3.21194187985e-08
0.1782280001,7.153743147748999e-09,7.153743147748999e-09
0.1782280001,7.153743147748999e-09,7.153743147748999e-09
0.1871400001,1.0484678369879999e-08,1.0484678369879999e-08
0.1871400001,1.0484678369879999e-08,1.0484678369879999e-08
0.2309890001,4.987821535103e-08,4.987821535103e-08
0.2309890001,4.987821535103e-08,4.987821535103e-08
0.2519250001,7.217962246879999e-08,7.217962246879999e-08
0.2519250001,7.217962246879999e-08,7.217962246879999e-08
0.2312740001,2.5491143223370002e-08,2.5491143223370002e-08
0.2312740001,2.5491143223370002e-08,2.5491143223370002e-08
0.2089820001,1.1986282170829998e-08,1.1986282170829998e-08
0.2089820001,1.1986282170829998e-08,1.1986282170829998e-08
0.22301300010000003,5.735149465562e-09,5.735149465562e-09
0.22301300010000003,5.735149465562e-09,5.735149465562e-09
0.2378990001,7.662541585831e-09,7.662541585831e-09
0.2378990001,7.662541585831e-09,7.662541585831e-09
0.2557410001,2.342018337065e-08,2.342018337065e-08
0.2557410001,2.342018337065e-08,2.342018337065e-08
0.25829800010000004,1.665423199517e-08,1.665423199517e-08
0.25829800010000004,1.665423199517e-08,1.665423199517e-08
0.2190570001,4.15336801572e-09,4.15336801572e-09
0.2190570001,4.15336801572e-09,4.15336801572e-09
0.2536140001,1.0001776799189999e-08,1.0001776799189999e-08
0.2536140001,1.0001776799189999e-08,1.0001776799189999e-08
0.2171210001,7.538860357875e-09,7.538860357875e-09
0.2171210001,7.538860357875e-09,7.538860357875e-09
0.2822960001,3.482013440895e-08,3.482013440895e-08
0.2822960001,3.482013440895e-08,3.482013440895e-08
0.2854840001,6.77039253033e-08,6.77039253033e-08
0.2854840001,6.77039253033e-08,6.77039253033e-08
0.2707520001,7.7098448196e-08,7.7098448196e-08
0.2707520001,7.7098448196e-08,7.7098448196e-08
0.32687100010000003,3.6233112497559994e-07,3.6233112497559994e-07
0.32687100010000003,3.6233112497559994e-07,3.6233112497559994e-07
0.2808230001,9.213688936440999e-08,9.213688936440999e-08
0.2808230001,9.213688936440999e-08,9.213688936440999e-08
0.2658370001,4.346202959307e-08,4.346202959307e-08
0.2658370001,4.346202959307e-08,4.346202959307e-08
0.29687800010000004,9.025226063072999e-08,9.025226063072999e-08
0.29687800010000004,9.025226063072999e-08,9.025226063072999e-08
0.25199700010000003,4.4476290668480004e-08,4.4476290668480004e-08
0.25199700010000003,4.4476290668480004e-08,4.4476290668480004e-08
0.3021290001,1.0014310725099999e-07,1.0014310725099999e-07
0.3021290001,1.0014310725099999e-07,1.0014310725099999e-07
0.34832000009999997,4.279378382664e-07,4.279378382664e-07
0.34832000009999997,4.279378382664e-07,4.279378382664e-07
0.33286500010000003,2.7457291821630003e-07,2.7457291821630003e-07
0.33286500010000003,2.7457291821630003e-07,2.7457291821630003e-07
0.32254900010000004,2.66824583388e-07,2.66824583388e-07
0.32254900010000004,2.66824583388e-07,2.66824583388e-07
0.3830460001,9.388552006735001e-07,9.388552006735001e-07
0.3830460001,9.388552006735001e-07,9.388552006735001e-07
0.4138860001,1.0718579191979999e-06,1.0718579191979999e-06
0.4138860001,1.0718579191979999e-06,1.0718579191979999e-06
0.4146140001,1.290885807167e-06,1.290885807167e-06
0.4146140001,1.290885807167e-06,1.290885807167e-06
0.3705210001,3.4808390021680003e-07,3.4808390021680003e-07
0.3705210001,3.4808390021680003e-07,3.4808390021680003e-07
0.37997500009999996,4.244678159436e-07,4.244678159436e-07
0.37997500009999996,4.244678159436e-07,4.244678159436e-07
0.3662680001,3.247431641718e-07,3.247431641718e-07
0.3662680001,3.247431641718e-07,3.247431641718e-07
0.40129300009999996,9.502403478622999e-07,9.502403478622999e-07
0.40129300009999996,9.502403478622999e-07,9.502403478622999e-07
0.3732060001,1.121036307237e-06,1.121036307237e-06
0.3732060001,1.121036307237e-06,1.121036307237e-06
0.3017150001,2.907041795548e-07,2.907041795548e-07
0.3017150001,2.907041795548e-07,2.907041795548e-07
0.29021200010000003,1.804974154137e-07,1.804974154137e-07
0.29021200010000003,1.804974154137e-07,1.804974154137e-07
0.2621110001,7.563493963443e-08,7.563493963443e-08
0.2621110001,7.563493963443e-08,7.563493963443e-08
0.27556600010000004,1.204865572339e-07,1.204865572339e-07
0.27556600010000004,1.204865572339e-07,1.204865572339e-07
0.27503300010000004,1.417300812664e-07,1.417300812664e-07
0.27503300010000004,1.417300812664e-07,1.417300812664e-07
0.19689500010000002,2.9681224785850002e-08,2.9681224785850002e-08
0.19689500010000002,2.9681224785850002e-08,2.9681224785850002e-08
0.2056520001,4.675016195168e-08,4.675016195168e-08
0.2056520001,4.675016195168e-08,4.675016195168e-08
0.17688600010000002,3.419965573024e-08,3.419965573024e-08
0.17688600010000002,3.419965573024e-08,3.419965573024e-08
0.1651260001,3.82945978866e-08,3.82945978866e-08
0.1651260001,3.82945978866e-08,3.82945978866e-08
0.1022100001,5.285931587101e-09,5.285931587101e-09
0.1022100001,5.285931587101e-09,5.285931587101e-09
0.1071230001,7.491784116465e-09,7.491784116465e-09
0.1071230001,7.491784116465e-09,7.491784116465e-09
0.12708700009999999,9.146242598118999e-09,9.146242598118999e-09
0.12708700009999999,9.146242598118999e-09,9.146242598118999e-09
0.1195080001,8.407856192758e-09,8.407856192758e-09
0.1195080001,8.407856192758e-09,8.407856192758e-09
0.1125050001,4.505946364645e-09,4.505946364645e-09
0.1125050001,4.505946364645e-09,4.505946364645e-09
0.12603800010000002,4.654438844362999e-09,4.654438844362999e-09
0.12603800010000002,4.654438844362999e-09,4.654438844362999e-09
0.1129020001,3.295356637166e-09,3.295356637166e-09
0.1129020001,3.295356637166e-09,3.295356637166e-09
0.17549800010000002,1.190111069004e-08,1.190111069004e-08
0.17549800010000002,1.190111069004e-08,1.190111069004e-08
0.1860000001,1.185758737251e-08,1.185758737251e-08
