"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.001131443,0,1,0,0,365.76,0
-2.947534e-07,-0.00113143,0,1,0.36576,0.36576,365.76,0
-5.895068e-07,-0.001131416,0,1,0.73152,0.73152,365.76,0
-8.842601e-07,-0.001131403,0,1,1.09728,1.09728,365.76,0
-1.179014e-06,-0.00113139,0,1,1.46304,1.46304,365.76,0
-1.473767e-06,-0.001131376,0,1,1.8288,1.8288,365.76,0
-1.76852e-06,-0.001131363,0,1,2.19456,2.19456,365.76,0
-2.063274e-06,-0.001131349,0,1,2.56032,2.56032,365.76,0
-2.358027e-06,-0.001131336,0,1,2.92608,2.92608,365.76,0
-2.65278e-06,-0.001131322,0,1,3.29184,3.29184,365.76,0
-2.947534e-06,-0.001131309,0,1,3.6576,3.6576,365.76,0
-3.242287e-06,-0.001131295,0,1,4.02336,4.02336,365.76,0
-3.537041e-06,-0.001131282,0,1,4.38912,4.38912,365.76,0
-3.831794e-06,-0.001131268,0,1,4.75488,4.75488,365.76,0
-4.126548e-06,-0.001131255,0,1,5.12064,5.12064,365.76,0
-4.421301e-06,-0.001131241,0,1,5.4864,5.4864,365.76,0
-4.716054e-06,-0.001131228,0,1,5.85216,5.85216,365.76,0
-5.014054e-06,-0.001131204,0,1,6.21792,6.21792,365.76,0
-5.318545e-06,-0.001131161,0,1,6.58368,6.58368,365.76,0
-5.623036e-06,-0.001131117,0,1,6.94944,6.94944,365.76,0
-5.927528e-06,-0.001131074,0,1,7.3152,7.3152,365.76,0
-6.23202e-06,-0.001131031,0,1,7.68096,7.68096,365.76,0
-6.536511e-06,-0.001130987,0,1,8.046721,8.046721,365.76,0
-6.841003e-06,-0.001130944,0,1,8.41248,8.41248,365.76,0
-7.145494e-06,-0.0011309,0,1,8.77824,8.77824,365.76,0
-7.449985e-06,-0.001130857,0,1,9.144,9.144,365.76,0
-7.754476e-06,-0.001130814,0,1,9.50976,9.50976,365.76,0
-8.058969e-06,-0.00113077,0,1,9.875521,9.875521,365.76,0
-8.36346e-06,-0.001130727,0,1,10.24128,10.24128,365.76,0
-8.667951e-06,-0.001130683,0,1,10.60704,10.60704,365.76,0
-8.972443e-06,-0.00113064,0,1,10.9728,10.9728,365.76,0
-9.276934e-06,-0.001130597,0,1,11.33856,11.33856,365.76,0
-9.581425e-06,-0.001130553,0,1,11.70432,11.70432,365.76,0
-9.885917e-06,-0.00113051,0,1,12.07008,12.07008,365.76,0
-1.019233e-05,-0.00113043,0,1,12.43584,12.43584,365.76,0
-1.04997e-05,-0.001130332,0,1,12.8016,12.8016,365.76,0
-1.080708e-05,-0.001130233,0,1,13.16736,13.16736,365.76,0
-1.111445e-05,-0.001130135,0,1,13.53312,13.53312,365.76,0
-1.142183e-05,-0.001130037,0,1,13.89888,13.89888,365.76,0
-1.17292e-05,-0.001129939,0,1,14.26464,14.26464,365.76,0
-1.203658e-05,-0.001129841,0,1,14.6304,14.6304,365.76,0
-1.234395e-05,-0.001129742,0,1,14.99616,14.99616,365.76,0
-1.265132e-05,-0.001129644,0,1,15.36192,15.36192,365.76,0
-1.29587e-05,-0.001129546,0,1,15.72768,15.72768,365.76,0
-1.326607e-05,-0.001129448,0,1,16.09344,16.09344,365.76,0
-1.357345e-05,-0.00112935,0,1,16.4592,16.4592,365.76,0
-1.388082e-05,-0.001129252,0,1,16.82496,16.82496,365.76,0
-1.418819e-05,-0.001129153,0,1,17.19072,17.19072,365.76,0
-1.449557e-05,-0.001129055,0,1,17.55648,17.55648,365.76,0
-1.480294e-05,-0.001128957,0,1,17.92224,17.92224,365.76,0
-1.511032e-05,-0.001128859,0,1,18.288,18.288,365.76,0
-1.537666e-05,-0.001128706,0,1,18.65376,18.65376,365.76,0
-1.564301e-05,-0.001128554,0,1,19.01952,19.01952,365.76,0
-1.590935e-05,-0.001128401,0,1,19.38528,19.38528,365.76,0
-1.61757e-05,-0.001128249,0,1,19.75104,19.75104,365.76,0
-1.644204e-05,-0.001128096,0,1,20.1168,20.1168,365.76,0
-1.670839e-05,-0.001127944,0,1,20.48256,20.48256,365.76,0
-1.697473e-05,-0.001127792,0,1,20.84832,20.84832,365.76,0
-1.724107e-05,-0.001127639,0,1,21.21408,21.21408,365.76,0
-1.750742e-05,-0.001127487,0,1,21.57984,21.57984,365.76,0
-1.777376e-05,-0.001127334,0,1,21.9456,21.9456,365.76,0
-1.804011e-05,-0.001127182,0,1,22.31136,22.31136,365.76,0
-1.830645e-05,-0.001127029,0,1,22.67712,22.67712,365.76,0
-1.85728e-05,-0.001126877,0,1,23.04288,23.04288,365.76,0
-1.883914e-05,-0.001126724,0,1,23.40864,23.40864,365.76,0
-1.910549e-05,-0.001126572,0,1,23.7744,23.7744,365.76,0
-1.937183e-05,-0.00112642,0,1,24.14016,24.14016,365.76,0
-1.962234e-05,-0.00112626,0,1,24.50592,24.50592,365.76,0
-1.984119e-05,-0.001126087,0,1,24.87168,24.87168,365.76,0
-2.006003e-05,-0.001125914,0,1,25.23744,25.23744,365.76,0
-2.027887e-05,-0.00112574,0,1,25.6032,25.6032,365.76,0
-2.049771e-05,-0.001125567,0,1,25.96896,25.96896,365.76,0
-2.071655e-05,-0.001125394,0,1,26.33472,26.33472,365.76,0
-2.09354e-05,-0.001125221,0,1,26.70048,26.70048,365.76,0
-2.115424e-05,-0.001125048,0,1,27.06624,27.06624,365.76,0
-2.137308e-05,-0.001124874,0,1,27.432,27.432,365.76,0
-2.159192e-05,-0.001124701,0,1,27.79776,27.79776,365.76,0
-2.181077e-05,-0.001124528,0,1,28.16352,28.16352,365.76,0
-2.202961e-05,-0.001124355,0,1,28.52928,28.52928,365.76,0
-2.224845e-05,-0.001124181,0,1,28.89504,28.89504,365.76,0
-2.246729e-05,-0.001124008,0,1,29.2608,29.2608,365.76,0
-2.268613e-05,-0.001123835,0,1,29.62656,29.62656,365.76,0
-2.290497e-05,-0.001123662,0,1,29.99232,29.99232,365.76,0
-2.312382e-05,-0.001123489,0,1,30.35808,30.35808,365.76,0
-2.330746e-05,-0.001123324,0,1,30.72384,30.72384,365.76,0
-2.347351e-05,-0.001123164,0,1,31.0896,31.0896,365.76,0
-2.363956e-05,-0.001123005,0,1,31.45536,31.45536,365.76,0
-2.38056e-05,-0.001122845,0,1,31.82112,31.82112,365.76,0
-2.397165e-05,-0.001122685,0,1,32.18688,32.18688,365.76,0
-2.41377e-05,-0.001122525,0,1,32.55264,32.55264,365.76,0
-2.430374e-05,-0.001122365,0,1,32.9184,32.9184,365.76,0
-2.446979e-05,-0.001122206,0,1,33.28416,33.28416,365.76,0
-2.463584e-05,-0.001122046,0,1,33.64992,33.64992,365.76,0
-2.480189e-05,-0.001121886,0,1,34.01568,34.01568,365.76,0
-2.496793e-05,-0.001121726,0,1,34.38144,34.38144,365.76,0
-2.513398e-05,-0.001121566,0,1,34.7472,34.7472,365.76,0
-2.530003e-05,-0.001121406,0,1,35.11296,35.11296,365.76,0
-2.546607e-05,-0.001121247,0,1,35.47872,35.47872,365.76,0
-2.563212e-05,-0.001121087,0,1,35.84448,35.84448,365.76,0
-2.579817e-05,-0.001120927,0,1,36.21024,36.21024,365.76,0
-2.596421e-05,-0.001120767,0,1,36.576,36.576,365.76,0
-2.614701e-05,-0.001120632,0,1,36.94176,36.94176,365.76,0
-2.63298e-05,-0.001120497,0,1,37.30752,37.30752,365.76,0
-2.65126e-05,-0.001120363,0,1,37.67328,37.67328,365.76,0
-2.669539e-05,-0.001120228,0,1,38.03904,38.03904,365.76,0
-2.687818e-05,-0.001120093,0,1,38.4048,38.4048,365.76,0
-2.706098e-05,-0.001119958,0,1,38.77056,38.77056,365.76,0
-2.724377e-05,-0.001119823,0,1,39.13632,39.13632,365.76,0
-2.742657e-05,-0.001119688,0,1,39.50208,39.50208,365.76,0
-2.760936e-05,-0.001119553,0,1,39.86784,39.86784,365.76,0
-2.779215e-05,-0.001119419,0,1,40.2336,40.2336,365.76,0
-2.797495e-05,-0.001119284,0,1,40.59936,40.59936,365.76,0
-2.815774e-05,-0.001119149,0,1,40.96512,40.96512,365.76,0
-2.834053e-05,-0.001119014,0,1,41.33088,41.33088,365.76,0
-2.852333e-05,-0.001118879,0,1,41.69664,41.69664,365.76,0
-2.870612e-05,-0.001118744,0,1,42.0624,42.0624,365.76,0
-2.888892e-05,-0.001118609,0,1,42.42816,42.42816,365.76,0
-2.907314e-05,-0.001118468,0,1,42.79392,42.79392,365.76,0
-2.926021e-05,-0.001118314,0,1,43.15968,43.15968,365.76,0
-2.944728e-05,-0.001118159,0,1,43.52544,43.52544,365.76,0
-2.963435e-05,-0.001118004,0,1,43.8912,43.8912,365.76,0
-2.982142e-05,-0.00111785,0,1,44.25696,44.25696,365.76,0
-3.000849e-05,-0.001117695,0,1,44.62272,44.62272,365.76,0
-3.019556e-05,-0.001117541,0,1,44.98848,44.98848,365.76,0
-3.038263e-05,-0.001117386,0,1,45.35424,45.35424,365.76,0
-3.05697e-05,-0.001117232,0,1,45.72,45.72,365.76,0
-3.075677e-05,-0.001117077,0,1,46.08576,46.08576,365.76,0
-3.094384e-05,-0.001116922,0,1,46.45152,46.45152,365.76,0
-3.113091e-05,-0.001116768,0,1,46.81728,46.81728,365.76,0
-3.131798e-05,-0.001116613,0,1,47.18304,47.18304,365.76,0
-3.150506e-05,-0.001116459,0,1,47.5488,47.5488,365.76,0
-3.169213e-05,-0.001116304,0,1,47.91456,47.91456,365.76,0
-3.18792e-05,-0.001116149,0,1,48.28032,48.28032,365.76,0
-3.206627e-05,-0.001115995,0,1,48.64608,48.64608,365.76,0
-3.224749e-05,-0.001115831,0,1,49.01184,49.01184,365.76,0
-3.242578e-05,-0.001115662,0,1,49.3776,49.3776,365.76,0
-3.260408e-05,-0.001115494,0,1,49.74336,49.74336,365.76,0
-3.278237e-05,-0.001115325,0,1,50.10912,50.10912,365.76,0
-3.296067e-05,-0.001115157,0,1,50.47488,50.47488,365.76,0
-3.313896e-05,-0.001114988,0,1,50.84064,50.84064,365.76,0
-3.331726e-05,-0.001114819,0,1,51.2064,51.2064,365.76,0
-3.349555e-05,-0.001114651,0,1,51.57216,51.57216,365.76,0
-3.367384e-05,-0.001114482,0,1,51.93792,51.93792,365.76,0
-3.385214e-05,-0.001114313,0,1,52.30368,52.30368,365.76,0
-3.403044e-05,-0.001114145,0,1,52.66944,52.66944,365.76,0
-3.420873e-05,-0.001113976,0,1,53.0352,53.0352,365.76,0
-3.438702e-05,-0.001113808,0,1,53.40096,53.40096,365.76,0
-3.456532e-05,-0.001113639,0,1,53.76672,53.76672,365.76,0
-3.474361e-05,-0.00111347,0,1,54.13248,54.13248,365.76,0
-3.492191e-05,-0.001113302,0,1,54.49824,54.49824,365.76,0
-3.510021e-05,-0.001113133,0,1,54.864,54.864,365.76,0
-3.529065e-05,-0.001112948,0,1,55.22976,55.22976,365.76,0
-3.548109e-05,-0.001112762,0,1,55.59552,55.59552,365.76,0
-3.567154e-05,-0.001112577,0,1,55.96128,55.96128,365.76,0
-3.586199e-05,-0.001112391,0,1,56.32704,56.32704,365.76,0
-3.605244e-05,-0.001112206,0,1,56.6928,56.6928,365.76,0
-3.624288e-05,-0.00111202,0,1,57.05856,57.05856,365.76,0
-3.643333e-05,-0.001111835,0,1,57.42432,57.42432,365.76,0
-3.662378e-05,-0.001111649,0,1,57.79008,57.79008,365.76,0
-3.681422e-05,-0.001111464,0,1,58.15584,58.15584,365.76,0
-3.700467e-05,-0.001111278,0,1,58.5216,58.5216,365.76,0
-3.719512e-05,-0.001111093,0,1,58.88736,58.88736,365.76,0
-3.738556e-05,-0.001110907,0,1,59.25312,59.25312,365.76,0
-3.757601e-05,-0.001110722,0,1,59.61888,59.61888,365.76,0
-3.776646e-05,-0.001110536,0,1,59.98464,59.98464,365.76,0
-3.79569e-05,-0.001110351,0,1,60.3504,60.3504,365.76,0
-3.814735e-05,-0.001110165,0,1,60.71616,60.71616,365.76,0
-3.833809e-05,-0.001109964,0,1,61.08192,61.08192,365.76,0
-3.852942e-05,-0.00110973,0,1,61.44768,61.44768,365.76,0
-3.872074e-05,-0.001109496,0,1,61.81344,61.81344,365.76,0
-3.891207e-05,-0.001109263,0,1,62.1792,62.1792,365.76,0
-3.91034e-05,-0.001109029,0,1,62.54496,62.54496,365.76,0
-3.929473e-05,-0.001108795,0,1,62.91072,62.91072,365.76,0
-3.948605e-05,-0.001108562,0,1,63.27648,63.27648,365.76,0
-3.967738e-05,-0.001108328,0,1,63.64224,63.64224,365.76,0
-3.986871e-05,-0.001108095,0,1,64.008,64.008,365.76,0
-4.006003e-05,-0.001107861,0,1,64.37376,64.37376,365.76,0
-4.025136e-05,-0.001107627,0,1,64.73952,64.73952,365.76,0
-4.044268e-05,-0.001107394,0,1,65.10528,65.10528,365.76,0
-4.063401e-05,-0.00110716,0,1,65.47104,65.47104,365.76,0
-4.082534e-05,-0.001106926,0,1,65.8368,65.8368,365.76,0
-4.101666e-05,-0.001106693,0,1,66.20256,66.20256,365.76,0
-4.120799e-05,-0.001106459,0,1,66.56832,66.56832,365.76,0
-4.139932e-05,-0.001106226,0,1,66.93408,66.93408,365.76,0
-4.156404e-05,-0.001105959,0,1,67.29984,67.29984,365.76,0
-4.171546e-05,-0.001105676,0,1,67.6656,67.6656,365.76,0
-4.186688e-05,-0.001105394,0,1,68.03136,68.03136,365.76,0
-4.20183e-05,-0.001105111,0,1,68.39713,68.39713,365.76,0
-4.216972e-05,-0.001104828,0,1,68.76288,68.76288,365.76,0
-4.232113e-05,-0.001104545,0,1,69.12864,69.12864,365.76,0
-4.247255e-05,-0.001104262,0,1,69.4944,69.4944,365.76,0
-4.262397e-05,-0.00110398,0,1,69.86016,69.86016,365.76,0
-4.277539e-05,-0.001103697,0,1,70.22592,70.22592,365.76,0
-4.292681e-05,-0.001103414,0,1,70.59168,70.59168,365.76,0
-4.307822e-05,-0.001103131,0,1,70.95744,70.95744,365.76,0
-4.322964e-05,-0.001102848,0,1,71.3232,71.3232,365.76,0
-4.338106e-05,-0.001102566,0,1,71.68896,71.68896,365.76,0
-4.353248e-05,-0.001102283,0,1,72.05473,72.05473,365.76,0
-4.36839e-05,-0.001102,0,1,72.42048,72.42048,365.76,0
-4.383531e-05,-0.001101717,0,1,72.78624,72.78624,365.76,0
-4.398673e-05,-0.001101434,0,1,73.152,73.152,365.76,0
-4.407811e-05,-0.001101132,0,1,73.51776,73.51776,365.76,0
-4.416949e-05,-0.00110083,0,1,73.88352,73.88352,365.76,0
-4.426086e-05,-0.001100528,0,1,74.24928,74.24928,365.76,0
-4.435224e-05,-0.001100226,0,1,74.61504,74.61504,365.76,0
-4.444362e-05,-0.001099924,0,1,74.9808,74.9808,365.76,0
-4.453499e-05,-0.001099622,0,1,75.34657,75.34657,365.76,0
-4.462637e-05,-0.00109932,0,1,75.71232,75.71232,365.76,0
-4.471774e-05,-0.001099018,0,1,76.07808,76.07808,365.76,0
-4.480912e-05,-0.001098716,0,1,76.44384,76.44384,365.76,0
-4.490049e-05,-0.001098414,0,1,76.8096,76.8096,365.76,0
-4.499187e-05,-0.001098112,0,1,77.17536,77.17536,365.76,0
-4.508325e-05,-0.00109781,0,1,77.54112,77.54112,365.76,0
-4.517462e-05,-0.001097508,0,1,77.90688,77.90688,365.76,0
-4.5266e-05,-0.001097206,0,1,78.27264,78.27264,365.76,0
-4.535738e-05,-0.001096904,0,1,78.6384,78.6384,365.76,0
-4.544875e-05,-0.001096602,0,1,79.00417,79.00417,365.76,0
-4.552667e-05,-0.001096302,0,1,79.36992,79.36992,365.76,0
-4.557766e-05,-0.001096008,0,1,79.73568,79.73568,365.76,0
-4.562866e-05,-0.001095714,0,1,80.10144,80.10144,365.76,0
-4.567966e-05,-0.00109542,0,1,80.4672,80.4672,365.76,0
-4.573066e-05,-0.001095126,0,1,80.83296,80.83296,365.76,0
-4.578165e-05,-0.001094833,0,1,81.19872,81.19872,365.76,0
-4.583265e-05,-0.001094539,0,1,81.56448,81.56448,365.76,0
-4.588364e-05,-0.001094245,0,1,81.93024,81.93024,365.76,0
-4.593464e-05,-0.001093951,0,1,82.29601,82.29601,365.76,0
-4.598564e-05,-0.001093657,0,1,82.66176,82.66176,365.76,0
-4.603664e-05,-0.001093363,0,1,83.02752,83.02752,365.76,0
-4.608763e-05,-0.001093069,0,1,83.39328,83.39328,365.76,0
-4.613863e-05,-0.001092775,0,1,83.75904,83.75904,365.76,0
-4.618962e-05,-0.001092481,0,1,84.1248,84.1248,365.76,0
-4.624062e-05,-0.001092187,0,1,84.49056,84.49056,365.76,0
-4.629162e-05,-0.001091893,0,1,84.85632,84.85632,365.76,0
-4.634261e-05,-0.0010916,0,1,85.22208,85.22208,365.76,0
-4.637981e-05,-0.001091303,0,1,85.58784,85.58784,365.76,0
-4.64101e-05,-0.001091006,0,1,85.95361,85.95361,365.76,0
-4.64404e-05,-0.001090708,0,1,86.31936,86.31936,365.76,0
-4.647069e-05,-0.001090411,0,1,86.68512,86.68512,365.76,0
-4.650099e-05,-0.001090113,0,1,87.05088,87.05088,365.76,0
-4.653128e-05,-0.001089816,0,1,87.41664,87.41664,365.76,0
-4.656158e-05,-0.001089519,0,1,87.7824,87.7824,365.76,0
-4.659187e-05,-0.001089221,0,1,88.14816,88.14816,365.76,0
-4.662217e-05,-0.001088924,0,1,88.51392,88.51392,365.76,0
-4.665246e-05,-0.001088626,0,1,88.87968,88.87968,365.76,0
-4.668276e-05,-0.001088329,0,1,89.24545,89.24545,365.76,0
-4.671305e-05,-0.001088031,0,1,89.61121,89.61121,365.76,0
-4.674335e-05,-0.001087734,0,1,89.97696,89.97696,365.76,0
-4.677364e-05,-0.001087436,0,1,90.34272,90.34272,365.76,0
-4.680394e-05,-0.001087139,0,1,90.70848,90.70848,365.76,0
-4.683423e-05,-0.001086841,0,1,91.07424,91.07424,365.76,0
-4.686453e-05,-0.001086544,0,1,91.44,91.44,365.76,0
-4.684396e-05,-0.001086245,0,1,91.80576,91.80576,365.76,0
-4.682339e-05,-0.001085946,0,1,92.17152,92.17152,365.76,0
-4.680282e-05,-0.001085647,0,1,92.53728,92.53728,365.76,0
-4.678225e-05,-0.001085347,0,1,92.90305,92.90305,365.76,0
-4.676168e-05,-0.001085048,0,1,93.2688,93.2688,365.76,0
-4.674111e-05,-0.001084749,0,1,93.63456,93.63456,365.76,0
-4.672054e-05,-0.00108445,0,1,94.00032,94.00032,365.76,0
-4.669997e-05,-0.001084151,0,1,94.36608,94.36608,365.76,0
-4.66794e-05,-0.001083852,0,1,94.73184,94.73184,365.76,0
-4.665883e-05,-0.001083552,0,1,95.0976,95.0976,365.76,0
-4.663826e-05,-0.001083253,0,1,95.46336,95.46336,365.76,0
-4.661769e-05,-0.001082954,0,1,95.82912,95.82912,365.76,0
-4.659712e-05,-0.001082655,0,1,96.19489,96.19489,365.76,0
-4.657656e-05,-0.001082356,0,1,96.56065,96.56065,365.76,0
-4.655599e-05,-0.001082057,0,1,96.9264,96.9264,365.76,0
-4.653541e-05,-0.001081758,0,1,97.29216,97.29216,365.76,0
-4.650565e-05,-0.001081466,0,1,97.65792,97.65792,365.76,0
-4.645748e-05,-0.001081188,0,1,98.02368,98.02368,365.76,0
-4.640931e-05,-0.001080911,0,1,98.38944,98.38944,365.76,0
-4.636114e-05,-0.001080633,0,1,98.7552,98.7552,365.76,0
-4.631297e-05,-0.001080356,0,1,99.12096,99.12096,365.76,0
-4.626481e-05,-0.001080078,0,1,99.48672,99.48672,365.76,0
-4.621664e-05,-0.001079801,0,1,99.85249,99.85249,365.76,0
-4.616847e-05,-0.001079523,0,1,100.2182,100.2182,365.76,0
-4.61203e-05,-0.001079245,0,1,100.584,100.584,365.76,0
-4.607213e-05,-0.001078968,0,1,100.9498,100.9498,365.76,0
-4.602396e-05,-0.00107869,0,1,101.3155,101.3155,365.76,0
-4.597579e-05,-0.001078413,0,1,101.6813,101.6813,365.76,0
-4.592763e-05,-0.001078135,0,1,102.047,102.047,365.76,0
-4.587946e-05,-0.001077858,0,1,102.4128,102.4128,365.76,0
-4.583129e-05,-0.00107758,0,1,102.7786,102.7786,365.76,0
-4.578312e-05,-0.001077303,0,1,103.1443,103.1443,365.76,0
-4.573495e-05,-0.001077025,0,1,103.5101,103.5101,365.76,0
-4.567215e-05,-0.001076763,0,1,103.8758,103.8758,365.76,0
-4.560202e-05,-0.001076508,0,1,104.2416,104.2416,365.76,0
-4.55319e-05,-0.001076253,0,1,104.6074,104.6074,365.76,0
-4.546177e-05,-0.001075999,0,1,104.9731,104.9731,365.76,0
-4.539165e-05,-0.001075744,0,1,105.3389,105.3389,365.76,0
-4.532152e-05,-0.001075489,0,1,105.7046,105.7046,365.76,0
-4.52514e-05,-0.001075234,0,1,106.0704,106.0704,365.76,0
-4.518127e-05,-0.001074979,0,1,106.4362,106.4362,365.76,0
-4.511115e-05,-0.001074724,0,1,106.8019,106.8019,365.76,0
-4.504102e-05,-0.00107447,0,1,107.1677,107.1677,365.76,0
-4.49709e-05,-0.001074215,0,1,107.5334,107.5334,365.76,0
-4.490077e-05,-0.00107396,0,1,107.8992,107.8992,365.76,0
-4.483065e-05,-0.001073705,0,1,108.265,108.265,365.76,0
-4.476052e-05,-0.001073451,0,1,108.6307,108.6307,365.76,0
-4.46904e-05,-0.001073196,0,1,108.9965,108.9965,365.76,0
-4.462027e-05,-0.001072941,0,1,109.3622,109.3622,365.76,0
-4.455015e-05,-0.001072686,0,1,109.728,109.728,365.76,0
-4.449306e-05,-0.001072443,0,1,110.0938,110.0938,365.76,0
-4.443598e-05,-0.001072199,0,1,110.4595,110.4595,365.76,0
-4.43789e-05,-0.001071955,0,1,110.8253,110.8253,365.76,0
-4.432181e-05,-0.001071712,0,1,111.191,111.191,365.76,0
-4.426473e-05,-0.001071468,0,1,111.5568,111.5568,365.76,0
-4.420764e-05,-0.001071225,0,1,111.9226,111.9226,365.76,0
-4.415055e-05,-0.001070981,0,1,112.2883,112.2883,365.76,0
-4.409347e-05,-0.001070737,0,1,112.6541,112.6541,365.76,0
-4.403638e-05,-0.001070494,0,1,113.0198,113.0198,365.76,0
-4.39793e-05,-0.00107025,0,1,113.3856,113.3856,365.76,0
-4.392221e-05,-0.001070007,0,1,113.7514,113.7514,365.76,0
-4.386513e-05,-0.001069763,0,1,114.1171,114.1171,365.76,0
-4.380804e-05,-0.001069519,0,1,114.4829,114.4829,365.76,0
-4.375096e-05,-0.001069276,0,1,114.8486,114.8486,365.76,0
-4.369387e-05,-0.001069032,0,1,115.2144,115.2144,365.76,0
-4.363679e-05,-0.001068788,0,1,115.5802,115.5802,365.76,0
-4.357861e-05,-0.001068535,0,1,115.9459,115.9459,365.76,0
-4.351826e-05,-0.001068264,0,1,116.3117,116.3117,365.76,0
-4.345791e-05,-0.001067992,0,1,116.6774,116.6774,365.76,0
-4.339756e-05,-0.001067721,0,1,117.0432,117.0432,365.76,0
-4.33372e-05,-0.001067449,0,1,117.409,117.409,365.76,0
-4.327685e-05,-0.001067178,0,1,117.7747,117.7747,365.76,0
-4.32165e-05,-0.001066906,0,1,118.1405,118.1405,365.76,0
-4.315615e-05,-0.001066634,0,1,118.5062,118.5062,365.76,0
-4.30958e-05,-0.001066363,0,1,118.872,118.872,365.76,0
-4.303544e-05,-0.001066091,0,1,119.2378,119.2378,365.76,0
-4.297509e-05,-0.00106582,0,1,119.6035,119.6035,365.76,0
-4.291474e-05,-0.001065548,0,1,119.9693,119.9693,365.76,0
-4.285439e-05,-0.001065276,0,1,120.335,120.335,365.76,0
-4.279404e-05,-0.001065005,0,1,120.7008,120.7008,365.76,0
-4.273369e-05,-0.001064733,0,1,121.0666,121.0666,365.76,0
-4.267333e-05,-0.001064462,0,1,121.4323,121.4323,365.76,0
-4.261298e-05,-0.00106419,0,1,121.7981,121.7981,365.76,0
-4.252648e-05,-0.001063895,0,1,122.1638,122.1638,365.76,0
-4.242691e-05,-0.001063588,0,1,122.5296,122.5296,365.76,0
-4.232734e-05,-0.001063282,0,1,122.8954,122.8954,365.76,0
-4.222777e-05,-0.001062975,0,1,123.2611,123.2611,365.76,0
-4.21282e-05,-0.001062669,0,1,123.6269,123.6269,365.76,0
-4.202863e-05,-0.001062362,0,1,123.9926,123.9926,365.76,0
-4.192906e-05,-0.001062056,0,1,124.3584,124.3584,365.76,0
-4.182949e-05,-0.001061749,0,1,124.7242,124.7242,365.76,0
-4.172992e-05,-0.001061442,0,1,125.0899,125.0899,365.76,0
-4.163035e-05,-0.001061136,0,1,125.4557,125.4557,365.76,0
-4.153078e-05,-0.001060829,0,1,125.8214,125.8214,365.76,0
-4.143121e-05,-0.001060523,0,1,126.1872,126.1872,365.76,0
-4.133164e-05,-0.001060216,0,1,126.553,126.553,365.76,0
-4.123207e-05,-0.00105991,0,1,126.9187,126.9187,365.76,0
-4.11325e-05,-0.001059603,0,1,127.2845,127.2845,365.76,0
-4.103293e-05,-0.001059296,0,1,127.6502,127.6502,365.76,0
-4.093336e-05,-0.00105899,0,1,128.016,128.016,365.76,0
-4.077072e-05,-0.001058671,0,1,128.3818,128.3818,365.76,0
-4.060809e-05,-0.001058352,0,1,128.7475,128.7475,365.76,0
-4.044545e-05,-0.001058033,0,1,129.1133,129.1133,365.76,0
-4.028282e-05,-0.001057714,0,1,129.479,129.479,365.76,0
