phi,kxx,kyy
0.184778,1.8041747462639998e-08,1.8041747462639998e-08
0.191699,2.8218801839909998e-08,2.8218801839909998e-08
0.159089,2.357976886826e-08,2.357976886826e-08
0.151273,3.023666521909e-08,3.023666521909e-08
0.123168,1.057360015921e-08,1.057360015921e-08
0.112611,5.280908147504e-09,5.280908147504e-09
0.123969,6.359190937385e-09,6.359190937385e-09
0.107377,3.877266353312e-09,3.877266353312e-09
0.107592,4.9756922477459995e-09,4.9756922477459995e-09
0.100245,2.500261618987e-09,2.500261618987e-09
0.159426,1.0375722037559999e-08,1.0375722037559999e-08
0.212926,2.2779077994969997e-08,2.2779077994969997e-08
0.190485,9.480168096674e-09,9.480168096674e-09
0.170006,3.966198011875e-09,3.966198011875e-09
0.160698,7.68556650642e-09,7.68556650642e-09
0.180098,6.7674909758280004e-09,6.7674909758280004e-09
0.262341,7.140024913879e-08,7.140024913879e-08
0.284822,1.051408868422e-07,1.051408868422e-07
0.253357,4.7266816299229996e-08,4.7266816299229996e-08
0.261592,6.039309357389e-08,6.039309357389e-08
0.22007,2.396634672487e-08,2.396634672487e-08
0.222053,3.21194187985e-08,3.21194187985e-08
0.178228,7.153743147748999e-09,7.153743147748999e-09
0.18714,1.0484678369879999e-08,1.0484678369879999e-08
0.230989,4.987821535103e-08,4.987821535103e-08
0.251925,7.217962246879999e-08,7.217962246879999e-08
0.231274,2.549114322337e-08,2.549114322337e-08
0.208982,1.1986282170829998e-08,1.1986282170829998e-08
0.223013,5.735149465562e-09,5.735149465562e-09
0.237899,7.662541585831e-09,7.662541585831e-09
0.255741,2.3420183370649997e-08,2.3420183370649997e-08
0.258298,1.665423199517e-08,1.665423199517e-08
0.219057,4.15336801572e-09,4.15336801572e-09
0.253614,1.0001776799189999e-08,1.0001776799189999e-08
0.217121,7.538860357875e-09,7.538860357875e-09
0.282296,3.482013440895e-08,3.482013440895e-08
0.285484,6.77039253033e-08,6.77039253033e-08
0.270752,7.7098448196e-08,7.7098448196e-08
0.326871,3.623311249756e-07,3.623311249756e-07
0.280823,9.213688936440999e-08,9.213688936440999e-08
0.265837,4.346202959307e-08,4.346202959307e-08
0.296878,9.025226063072999e-08,9.025226063072999e-08
0.251997,4.4476290668480004e-08,4.4476290668480004e-08
0.302129,1.0014310725099999e-07,1.0014310725099999e-07
0.34832,4.2793783826639996e-07,4.2793783826639996e-07
0.332865,2.745729182163e-07,2.745729182163e-07
0.322549,2.66824583388e-07,2.66824583388e-07
0.383046,9.388552006735e-07,9.388552006735e-07
0.413886,1.0718579191979999e-06,1.0718579191979999e-06
0.414614,1.290885807167e-06,1.290885807167e-06
0.370521,3.4808390021680003e-07,3.4808390021680003e-07
0.379975,4.2446781594359995e-07,4.2446781594359995e-07
0.366268,3.2474316417179996e-07,3.2474316417179996e-07
0.401293,9.502403478622999e-07,9.502403478622999e-07
0.373206,1.121036307237e-06,1.121036307237e-06
0.301715,2.9070417955479996e-07,2.9070417955479996e-07
0.290212,1.804974154137e-07,1.804974154137e-07
0.262111,7.563493963443e-08,7.563493963443e-08
0.275566,1.204865572339e-07,1.204865572339e-07
0.275033,1.417300812664e-07,1.417300812664e-07
0.196895,2.968122478585e-08,2.968122478585e-08
0.205652,4.675016195168e-08,4.675016195168e-08
0.176886,3.4199655730239996e-08,3.4199655730239996e-08
0.165126,3.82945978866e-08,3.82945978866e-08
0.10221,5.285931587101e-09,5.285931587101e-09
0.107123,7.491784116465e-09,7.491784116465e-09
0.127087,9.146242598118999e-09,9.146242598118999e-09
0.119508,8.407856192758e-09,8.407856192758e-09
0.112505,4.505946364645e-09,4.505946364645e-09
0.126038,4.654438844362999e-09,4.654438844362999e-09
0.112902,3.295356637166e-09,3.295356637166e-09
0.175498,1.190111069004e-08,1.190111069004e-08
0.186,1.185758737251e-08,1.185758737251e-08
0.153294,2.343419768151e-09,2.343419768151e-09
0.167679,4.3660697253359994e-09,4.3660697253359994e-09
0.18757,9.152420737977e-09,9.152420737977e-09
0.147853,5.779482060198e-09,5.779482060198e-09
0.15572,7.4413523358349994e-09,7.4413523358349994e-09
0.228385,2.056669203336e-08,2.056669203336e-08
0.228468,3.416915980026999e-08,3.416915980026999e-08
0.25234,5.5160130160299993e-08,5.5160130160299993e-08
0.219608,2.5451567599039997e-08,2.5451567599039997e-08
0.20495,1.489178436603e-08,1.489178436603e-08
0.20411,1.9717543226039998e-08,1.9717543226039998e-08
0.182026,1.264110578038e-08,1.264110578038e-08
0.262506,6.099126778602e-08,6.099126778602e-08
0.205133,1.185423183329e-08,1.185423183329e-08
0.234543,1.783814518585e-08,1.783814518585e-08
0.226125,9.719260135331999e-09,9.719260135331999e-09
0.242603,1.161352124042e-08,1.161352124042e-08
0.214668,5.149509179342e-09,5.149509179342e-09
0.255568,1.1837848906509999e-08,1.1837848906509999e-08
0.247766,8.717049393415e-09,8.717049393415e-09
0.238175,8.142521863553e-09,8.142521863553e-09
0.247151,1.5249544062279998e-08,1.5249544062279998e-08
0.259863,1.911917162925e-08,1.911917162925e-08
0.274558,4.458317446187e-08,4.458317446187e-08
0.293287,8.839546313410999e-08,8.839546313410999e-08
0.331688,2.4961362795929996e-07,2.4961362795929996e-07
0.308116,1.518598620176e-07,1.518598620176e-07
0.282587,1.0748680352629999e-07,1.0748680352629999e-07
0.281824,1.141436011848e-07,1.141436011848e-07
0.287983,9.547920381219e-08,9.547920381219e-08
0.270996,7.061781634655e-08,7.061781634655e-08
0.296339,1.6492179189309998e-07,1.6492179189309998e-07
0.306067,2.708749166112e-07,2.708749166112e-07
0.344013,4.977202240395e-07,4.977202240395e-07
0.446819,3.2727560935959996e-06,3.2727560935959996e-06
0.404789,1.638726924252e-06,1.638726924252e-06
0.426712,1.968250744889e-06,1.968250744889e-06
0.366367,4.633644370432e-07,4.633644370432e-07
0.42066,1.029578125026e-06,1.029578125026e-06
0.387424,1.1026400569249999e-06,1.1026400569249999e-06
0.392125,1.3528645904069998e-06,1.3528645904069998e-06
0.372865,1.679773064299e-06,1.679773064299e-06
0.319613,4.6918037605009994e-07,4.6918037605009994e-07
0.286018,1.7762152091749998e-07,1.7762152091749998e-07
0.280589,1.647777010913e-07,1.647777010913e-07
0.25962,7.895850253950999e-08,7.895850253950999e-08
0.261919,1.203187802729e-07,1.203187802729e-07
0.239617,3.6121787549319996e-08,3.6121787549319996e-08
0.211306,3.780962377698e-08,3.780962377698e-08
0.164679,1.829104428822e-08,1.829104428822e-08
0.191994,4.604234056092e-08,4.604234056092e-08
0.144211,1.315716797395e-08,1.315716797395e-08
0.124365,7.775544303681e-09,7.775544303681e-09
0.100218,6.3217668058489995e-09,6.3217668058489995e-09
0.125839,9.365171793757999e-09,9.365171793757999e-09
0.143795,6.860222289096e-09,6.860222289096e-09
0.153773,5.356891372371e-09,5.356891372371e-09
0.125485,2.2673773278859997e-09,2.2673773278859997e-09
0.12604,2.44599070672e-09,2.44599070672e-09
0.11513,2.0977153433829995e-09,2.0977153433829995e-09
0.130803,2.5870319155229997e-09,2.5870319155229997e-09
0.161045,3.414576971806e-09,3.414576971806e-09
0.158927,4.640355448872e-09,4.640355448872e-09
0.125421,2.658840454831e-09,2.658840454831e-09
0.159774,6.520671327731e-09,6.520671327731e-09
0.159334,4.8457243183689995e-09,4.8457243183689995e-09
0.156551,3.497942382957e-09,3.497942382957e-09
0.192119,1.13427094869e-08,1.13427094869e-08
0.221061,1.184446129262e-08,1.184446129262e-08
0.229739,1.546429857236e-08,1.546429857236e-08
0.198969,9.686711404898001e-09,9.686711404898001e-09
0.184656,4.284796591581e-09,4.284796591581e-09
0.222792,1.245210996843e-08,1.245210996843e-08
0.242659,1.9520553335359997e-08,1.9520553335359997e-08
0.225541,1.002871980528e-08,1.002871980528e-08
0.233032,8.338811038689999e-09,8.338811038689999e-09
0.250573,7.499107087351e-09,7.499107087351e-09
0.23078,5.136027807064e-09,5.136027807064e-09
0.237793,8.425640550624001e-09,8.425640550624001e-09
0.248209,9.096906302351999e-09,9.096906302351999e-09
0.271155,1.819462188181e-08,1.819462188181e-08
0.274399,1.97453744631e-08,1.97453744631e-08
0.255051,2.6852899992709998e-08,2.6852899992709998e-08
0.234321,1.921914695954e-08,1.921914695954e-08
