phi,kxx,kyy
1.8835677879714575e-05,1.8391179880366972e-12,1.8391179880366972e-12
1.954118246687054e-05,2.8765343363822626e-12,2.8765343363822626e-12
1.6217023445463813e-05,2.4036461639408767e-12,2.4036461639408767e-12
1.5420285423037715e-05,3.0822288704475025e-12,3.0822288704475025e-12
1.2555351681957186e-05,1.0778389560866462e-12,1.0778389560866462e-12
1.1479204892966361e-05,5.383188733439348e-13,5.383188733439348e-13
1.2637003058103974e-05,6.482355695601427e-13,6.482355695601427e-13
1.0945667686034658e-05,3.952361216424057e-13,3.952361216424057e-13
1.0967584097859327e-05,5.072061414623853e-13,5.072061414623853e-13
1.0218654434250765e-05,2.548686665634047e-13,2.548686665634047e-13
1.6251376146788993e-05,1.0576678937370029e-12,1.0576678937370029e-12
2.170499490316004e-05,2.3220262991814473e-12,2.3220262991814473e-12
1.941743119266055e-05,9.663779915060143e-13,9.663779915060143e-13
1.732986748216106e-05,4.0430153026248724e-13,4.0430153026248724e-13
1.638103975535168e-05,7.834420495840978e-13,7.834420495840978e-13
1.835861365953109e-05,6.898563685859328e-13,6.898563685859328e-13
2.6742201834862384e-05,7.278312858184505e-12,7.278312858184505e-12
2.9033843017329258e-05,1.071772546811417e-11,1.071772546811417e-11
2.5826401630988788e-05,4.8182279611855246e-12,4.8182279611855246e-12
2.666585117227319e-05,6.156278651772681e-12,6.156278651772681e-12
2.2433231396534146e-05,2.443052673279307e-12,2.443052673279307e-12
2.2635372069317023e-05,3.274150743985729e-12,3.274150743985729e-12
1.8167991845056065e-05,7.292296786696227e-13,7.292296786696227e-13
1.907645259938838e-05,1.068774553504587e-12,1.068774553504587e-12
2.3546279306829765e-05,5.0844256219194694e-12,5.0844256219194694e-12
2.5680428134556576e-05,7.357759680815493e-12,7.357759680815493e-12
2.357533129459735e-05,2.5984855477441383e-12,2.5984855477441383e-12
2.130295616717635e-05,1.2218432386167175e-12,1.2218432386167175e-12
2.2733231396534147e-05,5.846227793641182e-13,5.846227793641182e-13
2.42506625891947e-05,7.810949628777778e-13,7.810949628777778e-13
2.6069418960244648e-05,2.3873785291182465e-12,2.3873785291182465e-12
2.6330071355759433e-05,1.6976791024638124e-12,1.6976791024638124e-12
2.2329969418960246e-05,4.2338104135779817e-13,4.2338104135779817e-13
2.5852599388379207e-05,1.0195491130672782e-12,1.0195491130672782e-12
2.2132619775739042e-05,7.684872943807338e-13,7.684872943807338e-13
2.8776350662589193e-05,3.54945304882263e-12,3.54945304882263e-12
2.91013251783894e-05,6.90152143764526e-12,6.90152143764526e-12
2.7599592252803262e-05,7.85916903119266e-12,7.85916903119266e-12
3.332018348623853e-05,3.693487512493374e-11,3.693487512493374e-11
2.8626197757390416e-05,9.392139588624873e-12,9.392139588624873e-12
2.7098572884811415e-05,4.430380182779816e-12,4.430380182779816e-12
3.0262793068297654e-05,9.200026567862384e-12,9.200026567862384e-12
2.5687767584097862e-05,4.533770710344547e-12,4.533770710344547e-12
3.079806320081549e-05,1.0208267813557593e-11,1.0208267813557593e-11
3.5506625891946996e-05,4.362261348281345e-11,4.362261348281345e-11
3.393119266055046e-05,2.798908442571865e-11,2.798908442571865e-11
3.2879612640163096e-05,2.719924397431193e-11,2.719924397431193e-11
3.9046483180428135e-05,9.570389405438328e-11,9.570389405438328e-11
4.219021406727828e-05,1.0926176546360855e-10,1.0926176546360855e-10
