"f_381-2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.11714,1,0,0,0.025,0
0.11695,1,0.05,0.05,0.025,0
0.11566,1,0.1,0.1,0.025,0
0.11328,1,0.15,0.15,0.025,0
0.11111,1,0.2,0.2,0.025,0
0.10983,1,0.25,0.25,0.025,0
0.10534,1,0.3,0.3,0.025,0
0.099852,1,0.35,0.35,0.025,0
0.093412,1,0.4,0.4,0.025,0
0.088623,1,0.45,0.45,0.025,0
0.086076,1,0.5,0.5,0.025,0
0.077909,1,0.55,0.55,0.025,0
0.06898,1,0.6,0.6,0.025,0
0.062646,1,0.65,0.65,0.025,0
0.052619,1,0.7,0.7,0.025,0
0.04915,1,0.75,0.75,0.025,0
0.038413,1,0.8,0.8,0.025,0
0.027245,1,0.85,0.85,0.025,0
0.019602,1,0.9,0.9,0.025,0
0.0079123,1,0.95,0.95,0.025,0
0.0039698,1,1,1,0.025,0
