"f_10549-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0906,1,0,0,0.5,0
1.0906,1,0.001,0.001,0.5,0
1.0906,1,0.002,0.002,0.5,0
1.0906,1,0.003,0.003,0.5,0
1.0906,1,0.004,0.004,0.5,0
1.0906,1,0.005,0.005,0.5,0
1.0906,1,0.006,0.006,0.5,0
1.0906,1,0.007,0.007,0.5,0
1.0905,1,0.008,0.008,0.5,0
1.0905,1,0.009,0.009,0.5,0
1.0905,1,0.01,0.01,0.5,0
1.0905,1,0.011,0.011,0.5,0
1.0905,1,0.012,0.012,0.5,0
1.0905,1,0.013,0.013,0.5,0
1.0905,1,0.014,0.014,0.5,0
1.0905,1,0.015,0.015,0.5,0
1.0905,1,0.016,0.016,0.5,0
1.0905,1,0.017,0.017,0.5,0
1.0905,1,0.018,0.018,0.5,0
1.0904,1,0.019,0.019,0.5,0
1.0904,1,0.02,0.02,0.5,0
1.0904,1,0.021,0.021,0.5,0
1.0904,1,0.022,0.022,0.5,0
1.0904,1,0.023,0.023,0.5,0
1.0903,1,0.024,0.024,0.5,0
1.0903,1,0.025,0.025,0.5,0
1.0903,1,0.026,0.026,0.5,0
1.0902,1,0.027,0.027,0.5,0
1.0902,1,0.028,0.028,0.5,0
1.0902,1,0.029,0.029,0.5,0
1.0902,1,0.03,0.03,0.5,0
1.0901,1,0.031,0.031,0.5,0
1.0901,1,0.032,0.032,0.5,0
1.0901,1,0.033,0.033,0.5,0
1.09,1,0.034,0.034,0.5,0
1.09,1,0.035,0.035,0.5,0
1.09,1,0.036,0.036,0.5,0
1.0899,1,0.037,0.037,0.5,0
1.0899,1,0.038,0.038,0.5,0
1.0899,1,0.039,0.039,0.5,0
1.0899,1,0.04,0.04,0.5,0
1.0898,1,0.041,0.041,0.5,0
1.0898,1,0.042,0.042,0.5,0
1.0897,1,0.043,0.043,0.5,0
1.0897,1,0.044,0.044,0.5,0
1.0896,1,0.045,0.045,0.5,0
1.0896,1,0.046,0.046,0.5,0
1.0895,1,0.047,0.047,0.5,0
1.0895,1,0.048,0.048,0.5,0
1.0894,1,0.049,0.049,0.5,0
1.0894,1,0.05,0.05,0.5,0
1.0893,1,0.051,0.051,0.5,0
1.0893,1,0.052,0.052,0.5,0
1.0892,1,0.053,0.053,0.5,0
1.0892,1,0.054,0.054,0.5,0
1.0891,1,0.055,0.055,0.5,0
1.0891,1,0.056,0.056,0.5,0
1.089,1,0.057,0.057,0.5,0
1.089,1,0.058,0.058,0.5,0
1.0889,1,0.059,0.059,0.5,0
1.0889,1,0.06,0.06,0.5,0
1.0888,1,0.061,0.061,0.5,0
1.0888,1,0.062,0.062,0.5,0
1.0887,1,0.063,0.063,0.5,0
1.0887,1,0.064,0.064,0.5,0
1.0886,1,0.065,0.065,0.5,0
1.0885,1,0.066,0.066,0.5,0
1.0884,1,0.067,0.067,0.5,0
1.0884,1,0.068,0.068,0.5,0
1.0883,1,0.069,0.069,0.5,0
1.0882,1,0.07,0.07,0.5,0
1.0882,1,0.071,0.071,0.5,0
1.0881,1,0.072,0.072,0.5,0
1.088,1,0.073,0.073,0.5,0
1.088,1,0.074,0.074,0.5,0
1.0879,1,0.075,0.075,0.5,0
1.0878,1,0.076,0.076,0.5,0
1.0877,1,0.077,0.077,0.5,0
1.0877,1,0.078,0.078,0.5,0
1.0876,1,0.079,0.079,0.5,0
1.0875,1,0.08,0.08,0.5,0
1.0875,1,0.081,0.081,0.5,0
1.0874,1,0.082,0.082,0.5,0
1.0873,1,0.083,0.083,0.5,0
1.0872,1,0.084,0.084,0.5,0
1.0871,1,0.085,0.085,0.5,0
1.087,1,0.086,0.086,0.5,0
1.087,1,0.087,0.087,0.5,0
1.0869,1,0.088,0.088,0.5,0
1.0868,1,0.089,0.089,0.5,0
1.0867,1,0.09,0.09,0.5,0
1.0866,1,0.091,0.091,0.5,0
1.0865,1,0.092,0.092,0.5,0
1.0864,1,0.093,0.093,0.5,0
1.0863,1,0.094,0.094,0.5,0
1.0862,1,0.095,0.095,0.5,0
1.0861,1,0.096,0.096,0.5,0
1.086,1,0.097,0.097,0.5,0
1.0859,1,0.098,0.098,0.5,0
1.0858,1,0.099,0.099,0.5,0
1.0858,1,0.1,0.1,0.5,0
1.0857,1,0.101,0.101,0.5,0
1.0856,1,0.102,0.102,0.5,0
1.0855,1,0.103,0.103,0.5,0
1.0854,1,0.104,0.104,0.5,0
1.0853,1,0.105,0.105,0.5,0
1.0852,1,0.106,0.106,0.5,0
1.085,1,0.107,0.107,0.5,0
1.0849,1,0.108,0.108,0.5,0
1.0848,1,0.109,0.109,0.5,0
1.0847,1,0.11,0.11,0.5,0
1.0846,1,0.111,0.111,0.5,0
1.0845,1,0.112,0.112,0.5,0
1.0844,1,0.113,0.113,0.5,0
1.0842,1,0.114,0.114,0.5,0
1.0841,1,0.115,0.115,0.5,0
1.084,1,0.116,0.116,0.5,0
1.0839,1,0.117,0.117,0.5,0
1.0838,1,0.118,0.118,0.5,0
1.0837,1,0.119,0.119,0.5,0
1.0835,1,0.12,0.12,0.5,0
1.0834,1,0.121,0.121,0.5,0
1.0833,1,0.122,0.122,0.5,0
1.0832,1,0.123,0.123,0.5,0
1.0831,1,0.124,0.124,0.5,0
1.083,1,0.125,0.125,0.5,0
1.0828,1,0.126,0.126,0.5,0
1.0827,1,0.127,0.127,0.5,0
1.0826,1,0.128,0.128,0.5,0
1.0824,1,0.129,0.129,0.5,0
1.0823,1,0.13,0.13,0.5,0
1.0821,1,0.131,0.131,0.5,0
1.082,1,0.132,0.132,0.5,0
1.0819,1,0.133,0.133,0.5,0
1.0817,1,0.134,0.134,0.5,0
1.0816,1,0.135,0.135,0.5,0
1.0814,1,0.136,0.136,0.5,0
1.0813,1,0.137,0.137,0.5,0
1.0812,1,0.138,0.138,0.5,0
1.081,1,0.139,0.139,0.5,0
1.0809,1,0.14,0.14,0.5,0
1.0807,1,0.141,0.141,0.5,0
1.0806,1,0.142,0.142,0.5,0
1.0805,1,0.143,0.143,0.5,0
1.0803,1,0.144,0.144,0.5,0
1.0802,1,0.145,0.145,0.5,0
1.08,1,0.146,0.146,0.5,0
1.0799,1,0.147,0.147,0.5,0
1.0797,1,0.148,0.148,0.5,0
1.0796,1,0.149,0.149,0.5,0
1.0794,1,0.15,0.15,0.5,0
1.0792,1,0.151,0.151,0.5,0
1.0791,1,0.152,0.152,0.5,0
1.0789,1,0.153,0.153,0.5,0
1.0787,1,0.154,0.154,0.5,0
1.0786,1,0.155,0.155,0.5,0
1.0784,1,0.156,0.156,0.5,0
1.0782,1,0.157,0.157,0.5,0
1.0781,1,0.158,0.158,0.5,0
1.0779,1,0.159,0.159,0.5,0
1.0777,1,0.16,0.16,0.5,0
1.0776,1,0.161,0.161,0.5,0
1.0774,1,0.162,0.162,0.5,0
1.0772,1,0.163,0.163,0.5,0
1.0771,1,0.164,0.164,0.5,0
1.0769,1,0.165,0.165,0.5,0
1.0768,1,0.166,0.166,0.5,0
1.0766,1,0.167,0.167,0.5,0
1.0764,1,0.168,0.168,0.5,0
1.0762,1,0.169,0.169,0.5,0
1.076,1,0.17,0.17,0.5,0
1.0758,1,0.171,0.171,0.5,0
1.0756,1,0.172,0.172,0.5,0
1.0754,1,0.173,0.173,0.5,0
1.0752,1,0.174,0.174,0.5,0
1.075,1,0.175,0.175,0.5,0
1.0749,1,0.176,0.176,0.5,0
1.0747,1,0.177,0.177,0.5,0
1.0745,1,0.178,0.178,0.5,0
1.0743,1,0.179,0.179,0.5,0
1.0741,1,0.18,0.18,0.5,0
