"f_381-0:0","f_381-0:1","f_381-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-2.2631e-06,0,1,0,0,0.025,0
1.1521e-06,-2.2634e-06,0,1,0.033333,0.033333,0.025,0
2.304e-06,-2.2635e-06,0,1,0.066667,0.066667,0.025,0
3.455e-06,-2.2643e-06,0,1,0.1,0.1,0.025,0
4.6055e-06,-2.2649e-06,0,1,0.13333,0.13333,0.025,0
5.7545e-06,-2.2659e-06,0,1,0.16667,0.16667,0.025,0
6.9023e-06,-2.267e-06,0,1,0.2,0.2,0.025,0
8.0482e-06,-2.268e-06,0,1,0.23333,0.23333,0.025,0
9.1921e-06,-2.2698e-06,0,1,0.26667,0.26667,0.025,0
1.0334e-05,-2.2707e-06,0,1,0.3,0.3,0.025,0
1.1473e-05,-2.2734e-06,0,1,0.33333,0.33333,0.025,0
1.261e-05,-2.2739e-06,0,1,0.36667,0.36667,0.025,0
1.3742e-05,-2.2775e-06,0,1,0.4,0.4,0.025,0
1.4873e-05,-2.2775e-06,0,1,0.43333,0.43333,0.025,0
1.5998e-05,-2.2814e-06,0,1,0.46667,0.46667,0.025,0
1.7121e-05,-2.2814e-06,0,1,0.5,0.5,0.025,0
1.8237e-05,-2.2855e-06,0,1,0.53333,0.53333,0.025,0
1.9352e-05,-2.2862e-06,0,1,0.56667,0.56667,0.025,0
2.046e-05,-2.2898e-06,0,1,0.6,0.6,0.025,0
2.1564e-05,-2.2913e-06,0,1,0.63333,0.63333,0.025,0
2.2662e-05,-2.2941e-06,0,1,0.66667,0.66667,0.025,0
2.3755e-05,-2.2962e-06,0,1,0.7,0.7,0.025,0
2.4842e-05,-2.2983e-06,0,1,0.73333,0.73333,0.025,0
2.5923e-05,-2.3009e-06,0,1,0.76667,0.76667,0.025,0
2.6998e-05,-2.3023e-06,0,1,0.8,0.8,0.025,0
2.8065e-05,-2.3052e-06,0,1,0.83333,0.83333,0.025,0
2.9128e-05,-2.3058e-06,0,1,0.86667,0.86667,0.025,0
3.018e-05,-2.3087e-06,0,1,0.9,0.9,0.025,0
3.1229e-05,-2.3087e-06,0,1,0.93333,0.93333,0.025,0
3.2265e-05,-2.311e-06,0,1,0.96667,0.96667,0.025,0
3.3299e-05,-2.311e-06,0,1,1,1,0.025,0
