"f_10549-0:0","f_10549-0:1","f_10549-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-4.5803e-05,0,1,0,0,0.5,0
3.4957e-08,-4.5803e-05,0,1,0.001,0.001,0.5,0
6.9915e-08,-4.5803e-05,0,1,0.002,0.002,0.5,0
1.0487e-07,-4.5803e-05,0,1,0.003,0.003,0.5,0
1.3983e-07,-4.5803e-05,0,1,0.004,0.004,0.5,0
1.7479e-07,-4.5803e-05,0,1,0.005,0.005,0.5,0
2.0974e-07,-4.5803e-05,0,1,0.006,0.006,0.5,0
2.447e-07,-4.5803e-05,0,1,0.007,0.007,0.5,0
2.7966e-07,-4.5803e-05,0,1,0.008,0.008,0.5,0
3.1462e-07,-4.5803e-05,0,1,0.009,0.009,0.5,0
3.4957e-07,-4.5803e-05,0,1,0.01,0.01,0.5,0
3.8453e-07,-4.5803e-05,0,1,0.011,0.011,0.5,0
4.1949e-07,-4.5803e-05,0,1,0.012,0.012,0.5,0
4.5445e-07,-4.5803e-05,0,1,0.013,0.013,0.5,0
4.894e-07,-4.5803e-05,0,1,0.014,0.014,0.5,0
5.2436e-07,-4.5803e-05,0,1,0.015,0.015,0.5,0
5.5932e-07,-4.5803e-05,0,1,0.016,0.016,0.5,0
5.9427e-07,-4.5803e-05,0,1,0.017,0.017,0.5,0
6.2923e-07,-4.5803e-05,0,1,0.018,0.018,0.5,0
6.6419e-07,-4.5803e-05,0,1,0.019,0.019,0.5,0
6.9915e-07,-4.5803e-05,0,1,0.02,0.02,0.5,0
7.341e-07,-4.5803e-05,0,1,0.021,0.021,0.5,0
7.6906e-07,-4.5803e-05,0,1,0.022,0.022,0.5,0
8.0401e-07,-4.5803e-05,0,1,0.023,0.023,0.5,0
8.3896e-07,-4.5803e-05,0,1,0.024,0.024,0.5,0
8.7391e-07,-4.5803e-05,0,1,0.025,0.025,0.5,0
9.0887e-07,-4.5803e-05,0,1,0.026,0.026,0.5,0
9.4382e-07,-4.5803e-05,0,1,0.027,0.027,0.5,0
9.7877e-07,-4.5803e-05,0,1,0.028,0.028,0.5,0
1.0137e-06,-4.5803e-05,0,1,0.029,0.029,0.5,0
1.0487e-06,-4.5803e-05,0,1,0.03,0.03,0.5,0
1.0836e-06,-4.5803e-05,0,1,0.031,0.031,0.5,0
1.1186e-06,-4.5803e-05,0,1,0.032,0.032,0.5,0
1.1535e-06,-4.5803e-05,0,1,0.033,0.033,0.5,0
1.1885e-06,-4.5803e-05,0,1,0.034,0.034,0.5,0
1.2234e-06,-4.5803e-05,0,1,0.035,0.035,0.5,0
1.2584e-06,-4.5803e-05,0,1,0.036,0.036,0.5,0
1.2933e-06,-4.5803e-05,0,1,0.037,0.037,0.5,0
1.3283e-06,-4.5803e-05,0,1,0.038,0.038,0.5,0
1.3633e-06,-4.5803e-05,0,1,0.039,0.039,0.5,0
1.3982e-06,-4.5803e-05,0,1,0.04,0.04,0.5,0
1.4332e-06,-4.5803e-05,0,1,0.041,0.041,0.5,0
1.4681e-06,-4.5803e-05,0,1,0.042,0.042,0.5,0
1.5031e-06,-4.5803e-05,0,1,0.043,0.043,0.5,0
1.538e-06,-4.5803e-05,0,1,0.044,0.044,0.5,0
1.5729e-06,-4.5803e-05,0,1,0.045,0.045,0.5,0
1.6079e-06,-4.5803e-05,0,1,0.046,0.046,0.5,0
1.6428e-06,-4.5803e-05,0,1,0.047,0.047,0.5,0
1.6778e-06,-4.5803e-05,0,1,0.048,0.048,0.5,0
1.7127e-06,-4.5803e-05,0,1,0.049,0.049,0.5,0
1.7477e-06,-4.5803e-05,0,1,0.05,0.05,0.5,0
1.7826e-06,-4.5803e-05,0,1,0.051,0.051,0.5,0
1.8175e-06,-4.5803e-05,0,1,0.052,0.052,0.5,0
1.8525e-06,-4.5803e-05,0,1,0.053,0.053,0.5,0
1.8874e-06,-4.5803e-05,0,1,0.054,0.054,0.5,0
1.9224e-06,-4.5803e-05,0,1,0.055,0.055,0.5,0
1.9573e-06,-4.5803e-05,0,1,0.056,0.056,0.5,0
1.9923e-06,-4.5803e-05,0,1,0.057,0.057,0.5,0
2.0272e-06,-4.5803e-05,0,1,0.058,0.058,0.5,0
2.0622e-06,-4.5803e-05,0,1,0.059,0.059,0.5,0
2.0971e-06,-4.5803e-05,0,1,0.06,0.06,0.5,0
2.132e-06,-4.5803e-05,0,1,0.061,0.061,0.5,0
2.167e-06,-4.5803e-05,0,1,0.062,0.062,0.5,0
2.2019e-06,-4.5803e-05,0,1,0.063,0.063,0.5,0
2.2369e-06,-4.5803e-05,0,1,0.064,0.064,0.5,0
2.2718e-06,-4.5803e-05,0,1,0.065,0.065,0.5,0
2.3067e-06,-4.5803e-05,0,1,0.066,0.066,0.5,0
2.3416e-06,-4.5803e-05,0,1,0.067,0.067,0.5,0
2.3766e-06,-4.5803e-05,0,1,0.068,0.068,0.5,0
2.4115e-06,-4.5803e-05,0,1,0.069,0.069,0.5,0
2.4464e-06,-4.5803e-05,0,1,0.07,0.07,0.5,0
2.4814e-06,-4.5803e-05,0,1,0.071,0.071,0.5,0
2.5163e-06,-4.5803e-05,0,1,0.072,0.072,0.5,0
2.5512e-06,-4.5803e-05,0,1,0.073,0.073,0.5,0
2.5862e-06,-4.5803e-05,0,1,0.074,0.074,0.5,0
2.6211e-06,-4.5803e-05,0,1,0.075,0.075,0.5,0
2.656e-06,-4.5803e-05,0,1,0.076,0.076,0.5,0
2.691e-06,-4.5803e-05,0,1,0.077,0.077,0.5,0
2.7259e-06,-4.5803e-05,0,1,0.078,0.078,0.5,0
2.7608e-06,-4.5803e-05,0,1,0.079,0.079,0.5,0
2.7957e-06,-4.5803e-05,0,1,0.08,0.08,0.5,0
2.8307e-06,-4.5803e-05,0,1,0.081,0.081,0.5,0
2.8656e-06,-4.5803e-05,0,1,0.082,0.082,0.5,0
2.9005e-06,-4.5803e-05,0,1,0.083,0.083,0.5,0
2.9355e-06,-4.5803e-05,0,1,0.084,0.084,0.5,0
2.9704e-06,-4.5803e-05,0,1,0.085,0.085,0.5,0
3.0053e-06,-4.5803e-05,0,1,0.086,0.086,0.5,0
3.0402e-06,-4.5803e-05,0,1,0.087,0.087,0.5,0
3.0751e-06,-4.5803e-05,0,1,0.088,0.088,0.5,0
