"f_10549-0:0","f_10549-0:1","f_10549-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.3e-05,0,0,1,0,0.5,0,0
3.3e-05,-6.9619e-08,0,1,0.001,0.5,0.001,0
3.3e-05,-1.3924e-07,0,1,0.002,0.5,0.002,0
3.3e-05,-2.0886e-07,0,1,0.003,0.5,0.003,0
3.3e-05,-2.7848e-07,0,1,0.004,0.5,0.004,0
3.3e-05,-3.481e-07,0,1,0.005,0.5,0.005,0
3.3e-05,-4.1772e-07,0,1,0.006,0.5,0.006,0
3.3e-05,-4.8733e-07,0,1,0.007,0.5,0.007,0
3.3e-05,-5.5695e-07,0,1,0.008,0.5,0.008,0
3.3e-05,-6.2657e-07,0,1,0.009,0.5,0.009,0
3.3e-05,-6.9619e-07,0,1,0.01,0.5,0.01,0
3.3e-05,-7.6581e-07,0,1,0.011,0.5,0.011,0
3.3e-05,-8.3543e-07,0,1,0.012,0.5,0.012,0
3.3e-05,-9.0505e-07,0,1,0.013,0.5,0.013,0
3.3e-05,-9.7467e-07,0,1,0.014,0.5,0.014,0
3.3e-05,-1.0443e-06,0,1,0.015,0.5,0.015,0
3.3e-05,-1.1139e-06,0,1,0.016,0.5,0.016,0
3.3e-05,-1.1835e-06,0,1,0.017,0.5,0.017,0
3.3e-05,-1.2531e-06,0,1,0.018,0.5,0.018,0
3.3e-05,-1.3228e-06,0,1,0.019,0.5,0.019,0
3.3e-05,-1.3924e-06,0,1,0.02,0.5,0.02,0
3.3e-05,-1.462e-06,0,1,0.021,0.5,0.021,0
3.3e-05,-1.5316e-06,0,1,0.022,0.5,0.022,0
3.3e-05,-1.6012e-06,0,1,0.023,0.5,0.023,0
3.3e-05,-1.6709e-06,0,1,0.024,0.5,0.024,0
3.3e-05,-1.7405e-06,0,1,0.025,0.5,0.025,0
3.3e-05,-1.8101e-06,0,1,0.026,0.5,0.026,0
3.3e-05,-1.8797e-06,0,1,0.027,0.5,0.027,0
3.3e-05,-1.9493e-06,0,1,0.028,0.5,0.028,0
3.3e-05,-2.019e-06,0,1,0.029,0.5,0.029,0
3.3e-05,-2.0886e-06,0,1,0.03,0.5,0.03,0
3.3e-05,-2.1582e-06,0,1,0.031,0.5,0.031,0
3.3e-05,-2.2278e-06,0,1,0.032,0.5,0.032,0
3.3e-05,-2.2974e-06,0,1,0.033,0.5,0.033,0
3.3e-05,-2.3671e-06,0,1,0.034,0.5,0.034,0
3.3e-05,-2.4367e-06,0,1,0.035,0.5,0.035,0
3.3e-05,-2.5063e-06,0,1,0.036,0.5,0.036,0
3.3e-05,-2.5759e-06,0,1,0.037,0.5,0.037,0
3.3e-05,-2.6455e-06,0,1,0.038,0.5,0.038,0
3.3e-05,-2.7151e-06,0,1,0.039,0.5,0.039,0
3.3e-05,-2.7848e-06,0,1,0.04,0.5,0.04,0
