"f_1372-2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
973.37,1,0,0.5,0,0
973.37,1,0.25,0.5,0.25,0
972.12,1,0.5,0.5,0.5,0
969.37,1,0.75,0.5,0.75,0
965.13,1,1,0.5,1,0
959.39,1,1.25,0.5,1.25,0
952.18,1,1.5,0.5,1.5,0
943.5,1,1.75,0.5,1.75,0
933.37,1,2,0.5,2,0
921.79,1,2.25,0.5,2.25,0
908.8,1,2.5,0.5,2.5,0
894.4,1,2.75,0.5,2.75,0
878.63,1,3,0.5,3,0
861.5,1,3.25,0.5,3.25,0
843.04,1,3.5,0.5,3.5,0
823.28,1,3.75,0.5,3.75,0
802.25,1,4,0.5,4,0
779.98,1,4.25,0.5,4.25,0
756.52,1,4.5,0.5,4.5,0
731.88,1,4.75,0.5,4.75,0
706.12,1,5,0.5,5,0
679.27,1,5.25,0.5,5.25,0
651.37,1,5.5,0.5,5.5,0
622.46,1,5.75,0.5,5.75,0
592.6,1,6,0.5,6,0
561.82,1,6.25,0.5,6.25,0
530.18,1,6.5,0.5,6.5,0
497.72,1,6.75,0.5,6.75,0
464.49,1,7,0.5,7,0
430.55,1,7.25,0.5,7.25,0
395.94,1,7.5,0.5,7.5,0
360.72,1,7.75,0.5,7.75,0
324.95,1,8,0.5,8,0
288.67,1,8.25,0.5,8.25,0
251.95,1,8.5,0.5,8.5,0
214.84,1,8.75,0.5,8.75,0
177.4,1,9,0.5,9,0
139.68,1,9.25,0.5,9.25,0
101.75,1,9.5,0.5,9.5,0
63.667,1,9.75,0.5,9.75,0
25.482,1,10,0.5,10,0
