"f_72-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3478.9,1,0,0.5,0,0
3478.8,1,0.01,0.5,0.01,0
3478.7,1,0.02,0.5,0.02,0
3478.6,1,0.03,0.5,0.03,0
3478.5,1,0.04,0.5,0.04,0
3478.4,1,0.05,0.5,0.05,0
3478.3,1,0.06,0.5,0.06,0
3478.2,1,0.07,0.5,0.07,0
3478.1,1,0.08,0.5,0.08,0
3478,1,0.09,0.5,0.09,0
3477.9,1,0.1,0.5,0.1,0
3477.7,1,0.11,0.5,0.11,0
3477.6,1,0.12,0.5,0.12,0
3477.5,1,0.13,0.5,0.13,0
3477.4,1,0.14,0.5,0.14,0
3477.3,1,0.15,0.5,0.15,0
3477.2,1,0.16,0.5,0.16,0
3477.1,1,0.17,0.5,0.17,0
3477,1,0.18,0.5,0.18,0
3476.9,1,0.19,0.5,0.19,0
3476.8,1,0.2,0.5,0.2,0
3476.7,1,0.21,0.5,0.21,0
3476.6,1,0.22,0.5,0.22,0
3476.5,1,0.23,0.5,0.23,0
3476.4,1,0.24,0.5,0.24,0
3476.2,1,0.25,0.5,0.25,0
3475.9,1,0.26,0.5,0.26,0
3475.6,1,0.27,0.5,0.27,0
3475.3,1,0.28,0.5,0.28,0
3475,1,0.29,0.5,0.29,0
3474.6,1,0.3,0.5,0.3,0
3474.3,1,0.31,0.5,0.31,0
3474,1,0.32,0.5,0.32,0
3473.7,1,0.33,0.5,0.33,0
3473.4,1,0.34,0.5,0.34,0
3473,1,0.35,0.5,0.35,0
3472.7,1,0.36,0.5,0.36,0
3472.4,1,0.37,0.5,0.37,0
3472.1,1,0.38,0.5,0.38,0
3471.7,1,0.39,0.5,0.39,0
3471.4,1,0.4,0.5,0.4,0
3471.1,1,0.41,0.5,0.41,0
3470.8,1,0.42,0.5,0.42,0
3470.5,1,0.43,0.5,0.43,0
3470.1,1,0.44,0.5,0.44,0
3469.8,1,0.45,0.5,0.45,0
3469.5,1,0.46,0.5,0.46,0
3469.2,1,0.47,0.5,0.47,0
3468.8,1,0.48,0.5,0.48,0
3468.5,1,0.49,0.5,0.49,0
3468.2,1,0.5,0.5,0.5,0
3467.7,1,0.51,0.5,0.51,0
3467.1,1,0.52,0.5,0.52,0
3466.6,1,0.53,0.5,0.53,0
3466.1,1,0.54,0.5,0.54,0
3465.5,1,0.55,0.5,0.55,0
3465,1,0.56,0.5,0.56,0
3464.5,1,0.57,0.5,0.57,0
3463.9,1,0.58,0.5,0.58,0
3463.4,1,0.59,0.5,0.59,0
3462.8,1,0.6,0.5,0.6,0
3462.3,1,0.61,0.5,0.61,0
3461.8,1,0.62,0.5,0.62,0
3461.2,1,0.63,0.5,0.63,0
3460.7,1,0.64,0.5,0.64,0
3460.2,1,0.65,0.5,0.65,0
3459.6,1,0.66,0.5,0.66,0
3459.1,1,0.67,0.5,0.67,0
3458.6,1,0.68,0.5,0.68,0
3458,1,0.69,0.5,0.69,0
3457.5,1,0.7,0.5,0.7,0
3457,1,0.71,0.5,0.71,0
3456.4,1,0.72,0.5,0.72,0
3455.9,1,0.73,0.5,0.73,0
3455.4,1,0.74,0.5,0.74,0
3454.8,1,0.75,0.5,0.75,0
3454.1,1,0.76,0.5,0.76,0
3453.3,1,0.77,0.5,0.77,0
3452.6,1,0.78,0.5,0.78,0
3451.8,1,0.79,0.5,0.79,0
3451.1,1,0.8,0.5,0.8,0
3450.3,1,0.81,0.5,0.81,0
3449.6,1,0.82,0.5,0.82,0
3448.8,1,0.83,0.5,0.83,0
3448.1,1,0.84,0.5,0.84,0
3447.3,1,0.85,0.5,0.85,0
3446.6,1,0.86,0.5,0.86,0
3445.8,1,0.87,0.5,0.87,0
3445.1,1,0.88,0.5,0.88,0
3444.3,1,0.89,0.5,0.89,0
3443.6,1,0.9,0.5,0.9,0
3442.8,1,0.91,0.5,0.91,0
3442.1,1,0.92,0.5,0.92,0
3441.3,1,0.93,0.5,0.93,0
3440.6,1,0.94,0.5,0.94,0
3439.8,1,0.95,0.5,0.95,0
3439.1,1,0.96,0.5,0.96,0
3438.3,1,0.97,0.5,0.97,0
3437.6,1,0.98,0.5,0.98,0
3436.8,1,0.99,0.5,0.99,0
3436.1,1,1,0.5,1,0
3435.1,1,1.01,0.5,1.01,0
3434.2,1,1.02,0.5,1.02,0
3433.2,1,1.03,0.5,1.03,0
3432.3,1,1.04,0.5,1.04,0
3431.3,1,1.05,0.5,1.05,0
3430.3,1,1.06,0.5,1.06,0
3429.4,1,1.07,0.5,1.07,0
3428.4,1,1.08,0.5,1.08,0
3427.5,1,1.09,0.5,1.09,0
3426.5,1,1.1,0.5,1.1,0
3425.5,1,1.11,0.5,1.11,0
3424.6,1,1.12,0.5,1.12,0
3423.6,1,1.13,0.5,1.13,0
3422.7,1,1.14,0.5,1.14,0
3421.7,1,1.15,0.5,1.15,0
