"f_1372-0:0","f_1372-0:1","f_1372-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.0355e-11,0,0,1,0,0.5,0,0
-5.5328e-11,-1.8806e-05,0,1,0.25,0.5,0.25,0
-7.1502e-11,-3.7615e-05,0,1,0.5,0.5,0.5,0
-9.4644e-11,-5.643e-05,0,1,0.75,0.5,0.75,0
-1.211e-10,-7.5254e-05,0,1,1,0.5,1,0
-1.4899e-10,-9.4091e-05,0,1,1.25,0.5,1.25,0
-1.774e-10,-0.00011294,0,1,1.5,0.5,1.5,0
-2.0588e-10,-0.00013181,0,1,1.75,0.5,1.75,0
-2.3421e-10,-0.00015071,0,1,2,0.5,2,0
-2.6225e-10,-0.00016962,0,1,2.25,0.5,2.25,0
-2.8992e-10,-0.00018857,0,1,2.5,0.5,2.5,0
-3.1716e-10,-0.00020754,0,1,2.75,0.5,2.75,0
-3.4392e-10,-0.00022655,0,1,3,0.5,3,0
-3.7015e-10,-0.0002456,0,1,3.25,0.5,3.25,0
-3.9581e-10,-0.00026468,0,1,3.5,0.5,3.5,0
-4.2086e-10,-0.00028381,0,1,3.75,0.5,3.75,0
-4.4526e-10,-0.00030298,0,1,4,0.5,4,0
-4.6898e-10,-0.00032219,0,1,4.25,0.5,4.25,0
-4.9197e-10,-0.00034146,0,1,4.5,0.5,4.5,0
-5.1421e-10,-0.00036078,0,1,4.75,0.5,4.75,0
-5.3565e-10,-0.00038015,0,1,5,0.5,5,0
-5.5626e-10,-0.00039958,0,1,5.25,0.5,5.25,0
-5.7602e-10,-0.00041906,0,1,5.5,0.5,5.5,0
-5.9488e-10,-0.00043861,0,1,5.75,0.5,5.75,0
-6.1281e-10,-0.00045822,0,1,6,0.5,6,0
-6.2977e-10,-0.00047789,0,1,6.25,0.5,6.25,0
-6.4571e-10,-0.00049763,0,1,6.5,0.5,6.5,0
-6.6055e-10,-0.00051744,0,1,6.75,0.5,6.75,0
-6.7418e-10,-0.00053732,0,1,7,0.5,7,0
-6.8638e-10,-0.00055726,0,1,7.25,0.5,7.25,0
-6.9677e-10,-0.00057729,0,1,7.5,0.5,7.5,0
-7.0465e-10,-0.00059738,0,1,7.75,0.5,7.75,0
-7.0874e-10,-0.00061755,0,1,8,0.5,8,0
-7.0688e-10,-0.00063779,0,1,8.25,0.5,8.25,0
-6.9551e-10,-0.00065811,0,1,8.5,0.5,8.5,0
-6.696e-10,-0.00067851,0,1,8.75,0.5,8.75,0
-6.2415e-10,-0.00069899,0,1,9,0.5,9,0
-5.6192e-10,-0.00071955,0,1,9.25,0.5,9.25,0
-5.2199e-10,-0.00074018,0,1,9.5,0.5,9.5,0
-6.5851e-10,-0.00076089,0,1,9.75,0.5,9.75,0
-1.2087e-09,-0.00078169,0,1,10,0.5,10,0
