"f_72-0:0","f_72-0:1","f_72-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-1.8807e-20,0,1,0,0.5,0,0
0,-3.51e-07,0,1,0.01,0.5,0.01,0
0,-7.02e-07,0,1,0.02,0.5,0.02,0
0,-1.053e-06,0,1,0.03,0.5,0.03,0
0,-1.404e-06,0,1,0.04,0.5,0.04,0
0,-1.755e-06,0,1,0.05,0.5,0.05,0
0,-2.106e-06,0,1,0.06,0.5,0.06,0
0,-2.457e-06,0,1,0.07,0.5,0.07,0
0,-2.808e-06,0,1,0.08,0.5,0.08,0
0,-3.159e-06,0,1,0.09,0.5,0.09,0
0,-3.51e-06,0,1,0.1,0.5,0.1,0
0,-3.861e-06,0,1,0.11,0.5,0.11,0
0,-4.212e-06,0,1,0.12,0.5,0.12,0
0,-4.563e-06,0,1,0.13,0.5,0.13,0
0,-4.914e-06,0,1,0.14,0.5,0.14,0
0,-5.265e-06,0,1,0.15,0.5,0.15,0
0,-5.616e-06,0,1,0.16,0.5,0.16,0
0,-5.967e-06,0,1,0.17,0.5,0.17,0
0,-6.318e-06,0,1,0.18,0.5,0.18,0
0,-6.669e-06,0,1,0.19,0.5,0.19,0
0,-7.02e-06,0,1,0.2,0.5,0.2,0
0,-7.371e-06,0,1,0.21,0.5,0.21,0
0,-7.722e-06,0,1,0.22,0.5,0.22,0
0,-8.073e-06,0,1,0.23,0.5,0.23,0
0,-8.424e-06,0,1,0.24,0.5,0.24,0
0,-8.775e-06,0,1,0.25,0.5,0.25,0
0,-9.1268e-06,0,1,0.26,0.5,0.26,0
0,-9.4785e-06,0,1,0.27,0.5,0.27,0
0,-9.8303e-06,0,1,0.28,0.5,0.28,0
0,-1.0182e-05,0,1,0.29,0.5,0.29,0
0,-1.0534e-05,0,1,0.3,0.5,0.3,0
0,-1.0885e-05,0,1,0.31,0.5,0.31,0
0,-1.1237e-05,0,1,0.32,0.5,0.32,0
0,-1.1589e-05,0,1,0.33,0.5,0.33,0
0,-1.1941e-05,0,1,0.34,0.5,0.34,0
0,-1.2292e-05,0,1,0.35,0.5,0.35,0
0,-1.2644e-05,0,1,0.36,0.5,0.36,0
0,-1.2996e-05,0,1,0.37,0.5,0.37,0
0,-1.3348e-05,0,1,0.38,0.5,0.38,0
0,-1.3699e-05,0,1,0.39,0.5,0.39,0
0,-1.4051e-05,0,1,0.4,0.5,0.4,0
0,-1.4403e-05,0,1,0.41,0.5,0.41,0
0,-1.4755e-05,0,1,0.42,0.5,0.42,0
0,-1.5106e-05,0,1,0.43,0.5,0.43,0
0,-1.5458e-05,0,1,0.44,0.5,0.44,0
0,-1.581e-05,0,1,0.45,0.5,0.45,0
0,-1.6162e-05,0,1,0.46,0.5,0.46,0
0,-1.6513e-05,0,1,0.47,0.5,0.47,0
0,-1.6865e-05,0,1,0.48,0.5,0.48,0
